Module,Method,Route,requirePermission,Permission key,Scope resolver called,Empty assignment enforced,Service ownership check,Runtime test,Classification,Final status
"GetPass","POST","/:id/confirm-return-exit","yes","GET_PASS_APPROVE_RETURN","yes","no","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"GetPass","POST","/:id/confirm-return-arrival","yes","GET_PASS_APPROVE_RETURN","yes","no","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"GetPass","POST","/:id/accept-return-into-department","yes","GET_PASS_APPROVE_RETURN","yes","no","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"GetPass","POST","/:id/return","yes","GET_PASS_APPROVE_RETURN","yes","no","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"GetPass","POST","/:id/close","yes","GET_PASS_APPROVE_RETURN","yes","no","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"GRN","GET","/template","yes","GRN_MANAGE","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"GRN","POST","/import/preview","yes","GRN_MANAGE","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"GRN","POST","/import/pdf-preview","yes","GRN_MANAGE","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"GRN","POST","/","yes","GRN_MANAGE","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"GRN","GET","/","yes","GRN_MANAGE","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"GRN","GET","/:id/evidence","yes","GRN_VIEW","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"GRN","GET","/:id/evidence/pdf","yes","GRN_VIEW","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"GRN","GET","/:id","yes","GRN_VIEW","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"GRN","POST","/:id/validate","yes","GRN_VIEW","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"GRN","POST","/:id/submit","yes","GRN_MANAGE","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"GRN","POST","/:id/approve","yes","GRN_MANAGE","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"GRN","POST","/:id/reject","yes","GRN_MANAGE","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"GRN","POST","/:id/send-back","yes","GRN_MANAGE","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"GRN","POST","/:id/post","yes","GRN_MANAGE","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"GRN","PATCH","/:id","yes","GRN_MANAGE","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"GRN","DELETE","/:id","yes","GRN_MANAGE","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"InventoryHistory","GET","/","yes","INVENTORY_HISTORY_VIEW","unknown","unknown","unknown","partial","Permission-only","Permission-only"
"InventoryCount","POST","/sessions","yes","STOCK_COUNT_MANAGE","no","no","no","partial","Permission-only","Permission-only"
"InventoryCount","GET","/sessions","yes","STOCK_COUNT_MANAGE","no","no","no","partial","Permission-only","Permission-only"
"InventoryCount","GET","/sessions/:id","yes","STOCK_COUNT_MANAGE","no","no","no","partial","Permission-only","Permission-only"
"InventoryCount","POST","/sessions/:id/start","yes","STOCK_COUNT_MANAGE","no","no","no","partial","Permission-only","Permission-only"
"InventoryCount","POST","/sessions/:id/cancel","yes","STOCK_COUNT_VIEW","no","no","no","partial","Permission-only","Permission-only"
"InventoryCount","GET","/sessions/:id/export","yes","STOCK_COUNT_MANAGE","no","no","no","partial","Permission-only","Permission-only"
"InventoryCount","GET","/sessions/:id/pdf","yes","STOCK_COUNT_MANAGE","no","no","no","partial","Permission-only","Permission-only"
"InventoryCount","GET","/sessions/:id/sheets/:locationId","yes","STOCK_COUNT_VIEW","no","no","no","partial","Permission-only","Permission-only"
"InventoryCount","POST","/sessions/:id/submit-counts","yes","STOCK_COUNT_MANAGE","no","no","no","partial","Permission-only","Permission-only"
"InventoryCount","POST","/sessions/:id/recount","yes","STOCK_COUNT_MANAGE","no","no","no","partial","Permission-only","Permission-only"
"InventoryCount","GET","/sessions/:id/variances","yes","STOCK_COUNT_MANAGE","no","no","no","partial","Permission-only","Permission-only"
"InventoryCount","POST","/sessions/:id/submit-approval","yes","STOCK_COUNT_MANAGE","no","no","no","partial","Permission-only","Permission-only"
"InventoryCount","POST","/sessions/:id/approve","yes","STOCK_COUNT_MANAGE","no","no","no","partial","Permission-only","Permission-only"
"InventoryCount","POST","/sessions/:id/reject","yes","STOCK_COUNT_VIEW","no","no","no","partial","Permission-only","Permission-only"
"Ledger","GET","/","yes","LEDGER_VIEW","unknown","unknown","unknown","partial","Permission-only","Permission-only"
"Ledger","GET","/export","yes","LEDGER_VIEW","unknown","unknown","unknown","partial","Permission-only","Permission-only"
"Ledger","GET","/by-document/:documentId","yes","LEDGER_VIEW","unknown","unknown","unknown","partial","Permission-only","Permission-only"
"Lost","POST","/","yes","BREAKAGE_CREATE","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"Lost","POST","/:id/approve-dept","yes","APPROVE_LOST","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"Lost","POST","/:id/approve-cost","yes","APPROVE_LOST","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"Lost","POST","/:id/approve-finance","yes","APPROVE_LOST","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"Lost","POST","/:id/approve-gm","yes","APPROVE_LOST","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"Lost","POST","/:id/approve","yes","APPROVE_LOST","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"Lost","POST","/:id/reject","yes","APPROVE_LOST","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"Reports","GET","/summary-inventory/pdf","yes","REPORTS_EXPORT","unknown","unknown","unknown","partial","Permission-only","Permission-only"
"Reports","GET","/summary-inventory/excel","yes","REPORTS_EXPORT","unknown","unknown","unknown","partial","Permission-only","Permission-only"
"Reports","GET","/summary-inventory","yes","REPORTS_EXPORT","unknown","unknown","unknown","partial","Permission-only","Permission-only"
"Reports","GET","/valuation/pdf","yes","REPORTS_VIEW","unknown","unknown","unknown","partial","Permission-only","Permission-only"
"Reports","GET","/valuation/excel","yes","REPORTS_EXPORT","unknown","unknown","unknown","partial","Permission-only","Permission-only"
"Reports","GET","/valuation","yes","REPORTS_EXPORT","unknown","unknown","unknown","partial","Permission-only","Permission-only"
"Reports","GET","/analytics/:analyticsType/pdf","yes","REPORTS_VIEW","unknown","unknown","unknown","partial","Permission-only","Permission-only"
"Reports","GET","/analytics/:analyticsType/excel","yes","REPORTS_EXPORT","unknown","unknown","unknown","partial","Permission-only","Permission-only"
"Reports","GET","/analytics/:analyticsType","yes","REPORTS_EXPORT","unknown","unknown","unknown","partial","Permission-only","Permission-only"
"Reports","POST","/generate","yes","REPORTS_EXPORT","unknown","unknown","unknown","partial","Permission-only","Permission-only"
"Reports","GET","/history","yes","REPORTS_VIEW","unknown","unknown","unknown","partial","Permission-only","Permission-only"
"Reports","GET","/:id","yes","REPORTS_VIEW","unknown","unknown","unknown","partial","Permission-only","Permission-only"
"Reports","GET","/:id/pdf","yes","REPORTS_VIEW","unknown","unknown","unknown","partial","Permission-only","Permission-only"
"Reports","GET","/:id/excel","yes","REPORTS_VIEW","unknown","unknown","unknown","partial","Permission-only","Permission-only"
"Stock","GET","/summary","yes","INVENTORY_VIEW","unknown","unknown","unknown","partial","Permission-only","Permission-only"
"Stock","GET","/export","yes","INVENTORY_VIEW","unknown","unknown","unknown","partial","Permission-only","Permission-only"
"Stock","GET","/","no","","unknown","unknown","unknown","partial","Permission-only","Permission-only or controller gate"
"Stock","GET","/:itemId","no","","unknown","unknown","unknown","partial","Permission-only","Permission-only or controller gate"
"Transfer","POST","/","yes","TRANSFER_CREATE","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"Transfer","GET","/","yes","TRANSFER_CREATE","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"Transfer","GET","/:id/evidence","yes","TRANSFER_CREATE","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"Transfer","GET","/:id/evidence/pdf","yes","TRANSFER_CREATE","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"Transfer","GET","/:id","yes","INVENTORY_VIEW","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"Transfer","PATCH","/:id","yes","INVENTORY_VIEW","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"Transfer","DELETE","/:id","yes","INVENTORY_VIEW","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"Transfer","POST","/:id/submit","yes","TRANSFER_CREATE","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"Transfer","POST","/:id/approve","yes","TRANSFER_CREATE","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"Transfer","POST","/:id/reject","yes","TRANSFER_CREATE","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"Transfer","POST","/:id/dispatch","yes","TRANSFER_CREATE","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"Transfer","POST","/:id/receive","yes","TRANSFER_APPROVE","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"WorkflowPipeline","GET","/","yes","...PIPELINE_ACCESS","unknown","unknown","unknown","partial","Permission-only","Permission-only"
"WorkflowPipeline","GET","/summary","yes","...PIPELINE_ACCESS","unknown","unknown","unknown","partial","Permission-only","Permission-only"
"WorkflowPipeline","GET","/alerts","yes","...PIPELINE_ACCESS","unknown","unknown","unknown","partial","Permission-only","Permission-only"
