Module,Method,Route,Permission key,Scope resolver,Service enforced,evidenceType,finalClassification,staticOnlyMutation,sensitiveReadProbed
"GetPass","GET","/returns","GET_PASS_CREATE","yes","no","SERVICE_RUNTIME","Assignment enforced (service scope)","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"GetPass","PUT","/:id","GET_PASS_CREATE","yes","no","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"GetPass","DELETE","/:id","GET_PASS_CREATE","yes","no","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"GetPass","GET","/:id/pdf","GET_PASS_CREATE","yes","no","SERVICE_RUNTIME","Assignment enforced (service scope)","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"GetPass","POST","/:id/submit","GET_PASS_VIEW","yes","no","HTTP_RUNTIME","Runtime confirmed defect","false","n/a"
"GetPass","POST","/:id/approve","GET_PASS_CREATE","yes","no","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"GetPass","POST","/:id/reject","GET_PASS_CREATE","yes","no","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"GetPass","POST","/:id/accept-into-department","GET_PASS_CONFIRM_DESTINATION","yes","no","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"GetPass","POST","/:id/ship-back","","yes","no","SERVICE_RUNTIME","Permission-only or controller gate","false","n/a"
"GetPass","POST","/:id/confirm-return-exit","GET_PASS_APPROVE_RETURN","yes","no","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"GetPass","POST","/:id/confirm-return-arrival","GET_PASS_APPROVE_RETURN","yes","no","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"GetPass","POST","/:id/accept-return-into-department","GET_PASS_APPROVE_RETURN","yes","no","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"GetPass","POST","/:id/return","GET_PASS_APPROVE_RETURN","yes","no","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"GetPass","POST","/:id/close","GET_PASS_APPROVE_RETURN","yes","no","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"GRN","GET","/template","GRN_MANAGE","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"GRN","POST","/import/preview","GRN_MANAGE","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"GRN","POST","/import/pdf-preview","GRN_MANAGE","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"GRN","POST","/","GRN_MANAGE","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"GRN","GET","/","GRN_MANAGE","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"GRN","GET","/:id/evidence","GRN_VIEW","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"GRN","GET","/:id/evidence/pdf","GRN_VIEW","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"GRN","GET","/:id","GRN_VIEW","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"GRN","POST","/:id/validate","GRN_VIEW","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"GRN","POST","/:id/submit","GRN_MANAGE","yes","yes","HTTP_RUNTIME","Assignment enforced (service scope)","false","n/a"
"GRN","POST","/:id/approve","GRN_MANAGE","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"GRN","POST","/:id/reject","GRN_MANAGE","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"GRN","POST","/:id/send-back","GRN_MANAGE","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"GRN","POST","/:id/post","GRN_MANAGE","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"GRN","PATCH","/:id","GRN_MANAGE","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"GRN","DELETE","/:id","GRN_MANAGE","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"InventoryHistory","GET","/","INVENTORY_HISTORY_VIEW","unknown","unknown","STATIC_ONLY","Permission-only","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"InventoryCount","POST","/sessions","STOCK_COUNT_MANAGE","no","no","STATIC_ONLY","Permission-only","true","n/a"
"InventoryCount","GET","/sessions","STOCK_COUNT_MANAGE","no","no","STATIC_ONLY","Permission-only","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"InventoryCount","GET","/sessions/:id","STOCK_COUNT_MANAGE","no","no","STATIC_ONLY","Permission-only","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"InventoryCount","POST","/sessions/:id/start","STOCK_COUNT_MANAGE","no","no","STATIC_ONLY","Permission-only","true","n/a"
"InventoryCount","POST","/sessions/:id/cancel","STOCK_COUNT_VIEW","no","no","STATIC_ONLY","Permission-only","true","n/a"
"InventoryCount","GET","/sessions/:id/export","STOCK_COUNT_MANAGE","no","no","STATIC_ONLY","Permission-only","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"InventoryCount","GET","/sessions/:id/pdf","STOCK_COUNT_MANAGE","no","no","STATIC_ONLY","Permission-only","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"InventoryCount","GET","/sessions/:id/sheets/:locationId","STOCK_COUNT_VIEW","no","no","STATIC_ONLY","Permission-only","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"InventoryCount","POST","/sessions/:id/submit-counts","STOCK_COUNT_MANAGE","no","no","STATIC_ONLY","Permission-only","true","n/a"
"InventoryCount","POST","/sessions/:id/recount","STOCK_COUNT_MANAGE","no","no","STATIC_ONLY","Permission-only","true","n/a"
"InventoryCount","GET","/sessions/:id/variances","STOCK_COUNT_MANAGE","no","no","STATIC_ONLY","Permission-only","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"InventoryCount","POST","/sessions/:id/submit-approval","STOCK_COUNT_MANAGE","no","no","STATIC_ONLY","Permission-only","true","n/a"
"InventoryCount","POST","/sessions/:id/approve","STOCK_COUNT_MANAGE","no","no","STATIC_ONLY","Permission-only","true","n/a"
"InventoryCount","POST","/sessions/:id/reject","STOCK_COUNT_VIEW","no","no","STATIC_ONLY","Permission-only","true","n/a"
"Ledger","GET","/","LEDGER_VIEW","unknown","unknown","STATIC_ONLY","Permission-only","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"Ledger","GET","/export","LEDGER_VIEW","unknown","unknown","STATIC_ONLY","Permission-only","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"Ledger","GET","/by-document/:documentId","LEDGER_VIEW","unknown","unknown","STATIC_ONLY","Permission-only","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"Lost","POST","/","BREAKAGE_CREATE","yes","yes","HTTP_RUNTIME","Assignment enforced (service scope)","false","n/a"
"Lost","POST","/:id/approve-dept","APPROVE_LOST","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"Lost","POST","/:id/approve-cost","APPROVE_LOST","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"Lost","POST","/:id/approve-finance","APPROVE_LOST","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"Lost","POST","/:id/approve-gm","APPROVE_LOST","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"Lost","POST","/:id/approve","APPROVE_LOST","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"Lost","POST","/:id/reject","APPROVE_LOST","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"Reports","GET","/summary-inventory/pdf","REPORTS_EXPORT","unknown","unknown","STATIC_ONLY","Permission-only","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"Reports","GET","/summary-inventory/excel","REPORTS_EXPORT","unknown","unknown","STATIC_ONLY","Permission-only","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"Reports","GET","/summary-inventory","REPORTS_EXPORT","unknown","unknown","STATIC_ONLY","Permission-only","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"Reports","GET","/valuation/pdf","REPORTS_VIEW","unknown","unknown","STATIC_ONLY","Permission-only","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"Reports","GET","/valuation/excel","REPORTS_EXPORT","unknown","unknown","STATIC_ONLY","Permission-only","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"Reports","GET","/valuation","REPORTS_EXPORT","unknown","unknown","STATIC_ONLY","Permission-only","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"Reports","GET","/analytics/:analyticsType/pdf","REPORTS_VIEW","unknown","unknown","STATIC_ONLY","Permission-only","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"Reports","GET","/analytics/:analyticsType/excel","REPORTS_EXPORT","unknown","unknown","STATIC_ONLY","Permission-only","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"Reports","GET","/analytics/:analyticsType","REPORTS_EXPORT","unknown","unknown","STATIC_ONLY","Permission-only","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"Reports","POST","/generate","REPORTS_EXPORT","unknown","unknown","STATIC_ONLY","Permission-only","true","n/a"
"Reports","GET","/history","REPORTS_VIEW","unknown","unknown","STATIC_ONLY","Permission-only","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"Reports","GET","/:id","REPORTS_VIEW","unknown","unknown","STATIC_ONLY","Permission-only","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"Reports","GET","/:id/pdf","REPORTS_VIEW","unknown","unknown","STATIC_ONLY","Permission-only","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"Reports","GET","/:id/excel","REPORTS_VIEW","unknown","unknown","STATIC_ONLY","Permission-only","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"Stock","GET","/summary","INVENTORY_VIEW","unknown","unknown","STATIC_ONLY","Permission-only","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"Stock","GET","/export","INVENTORY_VIEW","unknown","unknown","STATIC_ONLY","Permission-only","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"Stock","GET","/","","unknown","unknown","STATIC_ONLY","Permission-only or controller gate","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"Stock","GET","/:itemId","","unknown","unknown","STATIC_ONLY","Permission-only or controller gate","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"Transfer","POST","/","TRANSFER_CREATE","yes","yes","HTTP_RUNTIME","Assignment enforced (service scope)","false","n/a"
"Transfer","GET","/","TRANSFER_CREATE","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"Transfer","GET","/:id/evidence","TRANSFER_CREATE","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"Transfer","GET","/:id/evidence/pdf","TRANSFER_CREATE","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"Transfer","GET","/:id","INVENTORY_VIEW","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"Transfer","PATCH","/:id","INVENTORY_VIEW","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"Transfer","DELETE","/:id","INVENTORY_VIEW","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"Transfer","POST","/:id/submit","TRANSFER_CREATE","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"Transfer","POST","/:id/approve","TRANSFER_CREATE","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"Transfer","POST","/:id/reject","TRANSFER_CREATE","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"Transfer","POST","/:id/dispatch","TRANSFER_CREATE","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"Transfer","POST","/:id/receive","TRANSFER_APPROVE","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"WorkflowPipeline","GET","/","...PIPELINE_ACCESS","unknown","unknown","HTTP_RUNTIME","Permission-only","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"WorkflowPipeline","GET","/summary","...PIPELINE_ACCESS","unknown","unknown","HTTP_RUNTIME","Permission-only","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"WorkflowPipeline","GET","/alerts","...PIPELINE_ACCESS","unknown","unknown","HTTP_RUNTIME","Permission-only","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
