ID,Requirement,Type,Applicable modules,Code evidence,Runtime evidence,Automated test,Last executed result,Evidence conflict,Final status
"C01-1.2-008","The official governance library shall maintain the Architecture Guide at minimum.","Documentation","Governance","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C01-1.2-009","The official governance library shall maintain the Implementation Guide at minimum.","Documentation","Governance","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C01-1.4-001","Normative keywords shall be interpreted exactly as defined in Chapter 1.4.","Documentation","Governance","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C02-2.1-001","DX OSE shall provide one consistent document lifecycle experience across all operational modules.","Static architecture","GRN, Transfer, Breakage, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C02-2.1-002","Internal workflow implementation must never be exposed to end users.","Runtime workflow","GRN, Transfer, Breakage, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C02-2.1-003","Internal workflow step names must never be exposed to end users.","Runtime workflow","GRN, Transfer, Breakage, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C02-2.1-004","Internal status codes must never be exposed to end users.","Runtime workflow","Lost Items, Movement, Inventory Count","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C02-2.2-001","Each user-facing lifecycle state shall represent one consistent business meaning across the entire DX OSE ERP Platform.","Static architecture","GRN, Transfer, Breakage, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C02-2.2-002","No module may redefine the standardized user-facing lifecycle state meanings.","Static architecture","Lost Items, Movement, Inventory Count","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C02-2.2-003","No module may introduce additional user-facing lifecycle states unless first ratified in this Constitution.","Static architecture","Movement, Inventory Count","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C02-2.2-004","A separate user-facing state named Cancelled shall not be introduced unless ratified in this Constitution.","Static architecture","Movement, Inventory Count","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C02-2.3-001","Each module shall provide a consistent mapping between internal workflow states and standardized user-facing lifecycle states.","Runtime workflow","GRN, Transfer, Breakage, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C02-2.3-002","Internal workflow identifiers must never be exposed to end users.","Runtime workflow","GRN, Transfer, Breakage, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C02-2.3-003","Internal status codes must never be exposed to end users.","Runtime workflow","Lost Items, Movement, Inventory Count","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C02-2.3-004","Internal enum names must never be exposed to end users.","Static architecture","Lost Items, Movement","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C02-2.3-005","Internal workflow step names must never be exposed to end users.","Runtime workflow","Transfer, Breakage","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C02-2.3-006","Other internal implementation details must never be exposed to end users.","Static architecture","GRN, Transfer, Breakage, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C02-2.3-007","Identical business outcomes shall always resolve to the same standardized user-facing lifecycle state across the DX OSE platform.","Static architecture","GRN, Transfer, Breakage, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C02-2.4.1-001","Posting is the single business commit point for all operational and financial effects within the DX OSE ERP Platform.","Data integrity","GRN, Transfer, Breakage, Get Pass, Movement","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C02-2.4.1-002","No operational or financial effect shall be considered official before Posting unless this Constitution explicitly states otherwise.","Data integrity","GRN, Transfer, Breakage, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C02-2.4.2-001","Operational reports shall derive operational and financial results exclusively from Posted documents.","Reporting","Reports","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Not Run"
"C02-2.5-001","Editability shall be governed exclusively by document lifecycle state, not by individual screen implementations.","UI/UX","GRN, Transfer, Breakage, Get Pass, Lost Items, Movement, Inventory Count","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Not Run"
"C02-2.5-002","Documents in Draft state shall be editable.","Static architecture","GRN, Transfer, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C02-2.5-003","Documents in Returned state shall be editable.","Static architecture","GRN","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C02-2.5-004","Documents in Submitted state shall not be editable.","Runtime workflow","GRN, Transfer","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C02-2.5-005","Documents in In Review state shall not be editable.","UI/UX","GRN, Transfer, Breakage, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Not Run"
"C02-2.5-006","Documents in Posted state shall not be editable.","Static architecture","GRN","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C02-2.5-007","Documents in Rejected state shall not be editable.","Runtime workflow","GRN, Transfer, Get Pass, Breakage, Lost Items","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C02-2.5-008","Documents in Void or Cancelled state shall not be editable.","Static architecture","Movement, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C02-2.5-009","Documents in Closed state shall not be editable.","Static architecture","Transfer, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C02-2.6-001","Delete is permitted only while the document is in Draft.","Static architecture","GRN, Transfer, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C02-2.6-002","Once a document leaves Draft, Delete must not be available.","Static architecture","GRN, Transfer, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C02-2.6-003","Business termination shall use governed lifecycle actions (Cancel, Reject, Void, Close, etc.) instead of Delete after Draft.","Runtime workflow","GRN, Breakage, Inventory Count, Transfer, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C02-2.6-004","Once a document enters the governed lifecycle, business termination actions shall replace deletion.","Static architecture","GRN, Transfer, Breakage, Get Pass, Inventory Count, Lost Items, Movement","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C02-2.7-001","After Return, the workflow path shall be Edit then Submit.","Runtime workflow","GRN","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C02-2.7-002","There shall be no separate action named Re-submit.","Runtime workflow","GRN","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C02-2.7-003","Submit shall always represent entering the workflow, whether for the first time or after Return.","Runtime workflow","GRN, Transfer, Breakage, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C02-2.7-004","After Reject, the same document must not re-enter workflow.","Runtime workflow","GRN","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C02-2.7-005","After Reject, a new document is required to repeat the operation.","Runtime workflow","GRN, Transfer, Breakage, Lost Items, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C02-2.8-001","Every document detail view shall present a unified timeline showing current state when applicable.","UI/UX","GRN, Get Pass, Inventory Count","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Not Run"
"C02-2.8-002","Every document detail view shall present a unified timeline showing workflow step when applicable.","UI/UX","GRN, Inventory Count","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Not Run"
"C02-2.8-003","Every document detail view shall present a unified timeline showing actor when applicable.","UI/UX","GRN","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Not Run"
"C02-2.8-004","Every document detail view shall present a unified timeline showing date and time when applicable.","UI/UX","GRN","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Not Run"
"C02-2.8-005","Every document detail view shall present a unified timeline showing mandatory reasons when applicable.","UI/UX","GRN, Transfer, Breakage, Lost Items, Inventory Count","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Not Run"
"C02-2.8-006","Every document detail view shall present a unified timeline showing workflow comments when applicable.","UI/UX","GRN, Transfer, Breakage, Lost Items","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Not Run"
"C02-2.8-007","Every document detail view shall present a unified timeline showing system events when applicable.","UI/UX","GRN, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Not Run"
"C02-2.8-008","Every document detail view shall present a unified timeline showing duration when applicable.","UI/UX","GRN","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Not Run"
"C03-3.1-001","Users shall see only the actions they need for their role and document state.","Permission/security","GRN, Transfer, Breakage, Lost Items, Get Pass, Movement, Inventory Count","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C03-3.1-002","Action behavior shall remain consistent across all DX OSE modules regardless of workflow implementation.","Runtime workflow","GRN, Transfer, Breakage, Lost Items","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C03-3.1-003","No module may invent alternative names for standard actions unless ratified in this Constitution.","Static architecture","GRN, Transfer","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C03-3.2-001","Cancel is an action, not a lifecycle state.","Static architecture","Inventory Count, GRN","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C03-3.2-002","Alternative Cancel labels with the same meaning (Abort, Discard, Cancel Document) must not be used.","UI/UX","Platform","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Not Run"
"C03-3.3-001","Reviewer actions shall be available only while the document is actively assigned to the current reviewer according to workflow definition and the permission model.","UI/UX","GRN","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Not Run"
"C03-3.4-001","Send Back shall not end the document.","Static architecture","GRN","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C03-3.4-002","Send Back shall allow edit.","Static architecture","GRN","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C03-3.4-003","Send Back shall require a reason.","Static architecture","GRN","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C03-3.4-004","Send Back next step shall be Edit then Submit.","Runtime workflow","GRN","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C03-3.4-005","Send Back shall continue the business transaction.","Static architecture","GRN","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C03-3.4-006","Reject shall end the document.","Runtime workflow","GRN, Transfer, Breakage, Lost Items, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C03-3.4-007","Reject shall not allow edit.","Runtime workflow","GRN","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C03-3.4-008","Reject shall require a reason.","Runtime workflow","GRN","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C03-3.4-009","Reject next step shall require a new document if the operation repeats.","Runtime workflow","GRN, Transfer, Breakage, Lost Items, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C03-3.4-010","Reject shall terminate the business transaction.","Runtime workflow","GRN, Transfer, Breakage, Lost Items, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C03-3.5-001","There shall be only one primary action for the current document state.","Static architecture","GRN","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C03-3.6-001","Button order shall be Primary, then Secondary, then Neutral, then Danger.","UI/UX","Transfer","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Not Run"
"C04-4.1-001","Operation permissions govern authorization only.","Documentation","Platform","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C04-4.1-002","Operation permissions shall never replace workflow validation.","Documentation","GRN, Transfer, Breakage","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C04-4.1-003","Operation permissions shall never replace lifecycle validation.","Documentation","GRN, Transfer, Breakage, Get Pass, Lost Items, Movement","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C04-4.1-004","Operation permissions shall never replace business rule enforcement.","Documentation","GRN, Posting","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C04-4.1-005","The Access Control Catalog (ACC) is the single source of truth for permissions.","Documentation","Platform","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C04-4.2-001","Evidence Package does not require a separate permission in the current DX OSE release.","Permission/security","GRN, Transfer, Breakage, Lost Items, Get Pass, Inventory Count","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C04-4.3-001","Permissions shall never bypass document lifecycle rules.","Documentation","GRN, Transfer, Breakage, Get Pass, Lost Items","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C04-4.3-002","Permissions grant eligibility, not execution authority.","Documentation","GRN, Transfer, Breakage, Get Pass, Lost Items","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C04-4.3-003","Action Allowed shall equal Permission plus Workflow plus Lifecycle plus Business Rules plus Scope.","Documentation","GRN, Transfer, Breakage, Get Pass, Lost Items","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C04-4.3-004","Modules shall not introduce alternative operation names for standardized operations.","Documentation","GRN, Transfer","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C05-5.1-001","Posting is the single irreversible business commit point for all operational and financial effects within the DX OSE Platform.","Data integrity","GRN, Transfer, Breakage, Lost Items, Get Pass, Movement","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C05-5.1-002","Posting is the only operation permitted to create official operational and financial business effects.","Data integrity","GRN, Transfer, Breakage, Get Pass, Movement","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C05-5.1-003","Documents become business-immutable after Posting except through formally governed reversal or adjustment procedures.","Data integrity","GRN, Transfer, Breakage, Get Pass, Inventory Count","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C05-5.2-001","Before Posting, the platform shall verify user authority.","Data integrity","GRN, Transfer, Breakage, Lost Items, Get Pass, Movement","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C05-5.2-002","Before Posting, the platform shall verify valid workflow state.","Data integrity","GRN, Transfer, Breakage, Lost Items, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C05-5.2-003","Before Posting, the platform shall verify open inventory/financial period for Posting Date.","Data integrity","GRN, Transfer, Breakage, Movement, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C05-5.2-004","Before Posting, the platform shall perform full document revalidation.","Data integrity","GRN, Transfer, Breakage, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C05-5.2-005","Before Posting, the platform shall verify stock availability for outbound documents.","Data integrity","Transfer, GRN, Get Pass, Breakage","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C05-5.2-006","Full revalidation shall occur immediately before Posting regardless of prior validation.","Data integrity","GRN, Transfer, Breakage, Movement","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C05-5.2-007","Posting shall use a single transactional boundary.","Data integrity","GRN, Transfer, Breakage, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C05-5.2-008","Partial posting is prohibited.","Data integrity","GRN, Transfer, Breakage, Movement, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C05-5.2-009","Any posting failure shall leave the document and related business data completely unchanged.","Data integrity","GRN, Transfer, Breakage, Movement, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C05-5.2-010","Repeating the same posting request shall never create additional effects.","Data integrity","GRN, Transfer, Breakage, Get Pass, Movement","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C05-5.2-011","Posting shall be automatically triggered upon successful final workflow approval unless a document-specific governance policy defines otherwise.","Data integrity","GRN, Transfer, Breakage, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C05-5.2-012","Final Workflow Approval equals business authorization for Posting.","Data integrity","GRN, Transfer, Breakage, Inventory Count","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C05-5.2-013","No additional posting confirmation is required by default.","Data integrity","GRN, Transfer, Inventory Count","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C05-5.2-014","Posting behavior shall remain deterministic and repeat-safe throughout the platform.","Data integrity","GRN, Transfer, Breakage, Get Pass, Movement","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C06-6.3-001","Each document shall permanently maintain Document Date.","Static architecture","GRN, Transfer, Breakage, Get Pass, Movement, Lost Items, Inventory Count","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C06-6.3-002","Each document shall permanently maintain Posting Date.","Data integrity","GRN, Transfer, Breakage, Get Pass, Movement","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C06-6.3-003","Each document shall permanently maintain Assigned Posting Period.","Data integrity","GRN, Transfer, Breakage, Get Pass, Movement","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C06-6.3-004","Document Date and Posting Date must never be treated as interchangeable.","Data integrity","GRN, Transfer, Breakage, Movement","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C06-6.5-001","Posting is permitted only when Posting Period is Open and all validations pass.","Data integrity","GRN, Transfer, Breakage, Get Pass, Movement","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C06-6.5-002","Future posting restrictions shall apply to Posting Date only, not Document Date.","Data integrity","GRN, Transfer, Breakage, Get Pass, Movement, Period Close","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C06-6.5-003","Posting into a Closed period is prohibited.","Data integrity","GRN, Transfer, Breakage, Get Pass, Movement","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C06-6.5-004","Periods shall close sequentially.","Static architecture","Period Close","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C06-6.5-005","Periods must not overlap.","Static architecture","Period Close","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C06-6.5-006","Period validation shall be centralized.","Static architecture","GRN, Transfer, Breakage, Get Pass, Movement, Period Close","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C06-6.5-007","Modules shall not implement independent period logic.","Static architecture","GRN, Transfer, Breakage, Get Pass, Movement, Lost Items","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C06-6.5-008","Assigned Posting Period shall be immutable after Posting.","Data integrity","GRN, Transfer, Breakage, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C06-6.6-001","Period Close validation phase shall use centralized validation with progress indication when Close Period is initiated.","Static architecture","Period Close","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C06-6.6-002","The platform shall provide governed period-close resolution whenever blocking conditions exist, rather than merely rejecting the request.","Runtime workflow","Period Close","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C07-7.1-001","Document State Protection and Draft and Recovery must remain separate policies.","Static architecture","GRN, Transfer, Get Pass, Breakage","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C07-7.2-001","Every operational document shall begin as a server-recognized draft unless Workflow Contracts define otherwise.","Runtime workflow","GRN, Transfer, Get Pass, Breakage","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C07-7.4-001","The platform shall define draft owner.","Static architecture","GRN, Transfer, Get Pass, Breakage","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C07-7.4-002","The platform shall define draft access rights.","Permission/security","GRN, Transfer, Get Pass, Breakage","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Partial"
"C07-7.4-003","The platform shall define draft ownership transfer rules if permitted.","Static architecture","GRN, Transfer, Get Pass, Breakage","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C07-7.4-004","The platform shall define handling of drafts for inactive or departed users.","Static architecture","GRN, Transfer, Get Pass, Breakage","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C07-7.5-001","Rules for opening the same draft from multiple sessions or devices shall align with Chapter 8 (Concurrency).","Static architecture","GRN, Transfer, Get Pass, Breakage","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C07-7.7-001","Auto-save shall occur on meaningful business events.","Static architecture","GRN, Transfer, Get Pass, Breakage","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C07-7.7-002","Auto-save shall occur on add or delete row.","Static architecture","GRN, Transfer, Get Pass, Breakage","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C07-7.7-003","Auto-save shall occur on quantity or price change.","Static architecture","GRN, Transfer, Get Pass","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
