"fresh_id","pdf_page","pdf_page_start","pdf_page_end","part","chapter_num","chapter_title","section","source_span_id","exact_pdf_source_text","source_context_text","normalized_atomic_clause","strength_classification","category_bucket","atomicity_status","atomicity_justification","semantic_review_status","semantic_review_reason","semantic_reviewer","product_gap_applicability","applies_to","related_sections","verification_type","extraction_note"
"C1-1.2-006","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","SP-C1-1.2-de69d867","● Business Decision Records (BDR)","","● Business Decision Records (BDR)","Governance Definition","Governance Definition","atomic","","Manual Reviewed — Confirmed","§1.2 governance library catalog entry.","gate-a.2-semantic-engine","No","Platform","","Documentation",""
"C1-1.2-007","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","SP-C1-1.2-16e6a122","● Workflow Contracts","","● Workflow Contracts","Governance Definition","Governance Definition","atomic","","Manual Reviewed — Confirmed","§1.2 governance library catalog entry.","gate-a.2-semantic-engine","No","Platform","","Documentation",""
"C1-1.2-008","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","SP-C1-1.2-5b27100e","● Access Control Catalog","","● Access Control Catalog","Governance Definition","Governance Definition","atomic","","Manual Reviewed — Confirmed","§1.2 governance library catalog entry.","gate-a.2-semantic-engine","No","Platform","","Documentation",""
"C1-1.2-009","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","SP-C1-1.2-4a4491d6","● Architecture Guide","","● Architecture Guide","Governance Definition","Governance Definition","atomic","","Manual Reviewed — Confirmed","§1.2 governance library catalog entry.","gate-a.2-semantic-engine","No","Platform","","Documentation",""
"C1-1.2-010","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","SP-C1-1.2-fc77b8a9","● Implementation Guide","","● Implementation Guide","Governance Definition","Governance Definition","atomic","","Manual Reviewed — Confirmed","§1.2 governance library catalog entry.","gate-a.2-semantic-engine","No","Platform","","Documentation",""
"C1-1.3-001","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.3","SP-C1-1.3-ccf0866a","Section 1.3 Four Tiers has been removed in its entirety per Master Review Log ratification.","","Section 1.3 Four Tiers has been removed in its entirety per Master Review Log ratification.","Descriptive","Descriptive Context","atomic","","Manual Reviewed — Confirmed","Descriptive context — no product modal operator.","gate-a.2-semantic-engine","No","Platform","","Documentation",""
"C1-1.3-002","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.3","SP-C1-1.3-2d207cb4","This section number is reserved and shall not be reassigned to other content without explicit governance decision.","","This section number is reserved and shall not be reassigned to other content without explicit governance decision.","Explicit Must Not","Product Enforceable Requirement","atomic","","Manual Reviewed — Confirmed","Explicit must/shall not modal.","gate-a.2-semantic-engine","Yes","Platform","","Code / Runtime / UI",""
"C1-1.4-001","11","11","12","Part 0 — Authority","1","Authority & Hierarchy","1.4","SP-C1-1.4-90c40222","This Constitution applies to all current and future operational modules of the DX OSE ERP Platform.","","This Constitution applies to all current and future operational modules of the DX OSE ERP Platform.","Governance Definition","Descriptive Context","atomic","","Manual Reviewed — Confirmed","§1.4 applicability scope statement.","gate-a.2-semantic-engine","No","Platform","","Documentation",""
"C1-1.4-002","11","11","12","Part 0 — Authority","1","Authority & Hierarchy","1.4","SP-C1-1.4-60ff6273","Unless explicitly stated otherwise:","","Unless explicitly stated otherwise:","Governance Definition","Descriptive Context","atomic","","Manual Reviewed — Confirmed","§1.4 applicability scope statement.","gate-a.2-semantic-engine","No","Platform","","Documentation",""
"C1-1.4-003","12","11","12","Part 0 — Authority","1","Authority & Hierarchy","1.4","SP-C1-1.4-90d83674","Platform-wide chapters apply to all DX OSE modules and shared user experiences.","","Platform-wide chapters apply to all DX OSE modules and shared user experiences.","Governance Definition","Descriptive Context","span_member","§1.4 applicability bullet.","Manual Reviewed — Confirmed","§1.4 applicability scope statement.","gate-a.2-semantic-engine","No","Platform","","Documentation",""
"C1-1.4-004","12","11","12","Part 0 — Authority","1","Authority & Hierarchy","1.4","SP-C1-1.4-21214de1","Document-specific chapters apply to operational documents and document entry workflows.","","Document-specific chapters apply to operational documents and document entry workflows.","Governance Definition","Descriptive Context","span_member","§1.4 applicability bullet.","Manual Reviewed — Confirmed","§1.4 applicability scope statement.","gate-a.2-semantic-engine","No","Platform","","Documentation",""
"C1-1.4-005","12","11","12","Part 0 — Authority","1","Authority & Hierarchy","1.4","SP-C1-1.4-02f3d46f","Out of scope for this Constitution:","","Out of scope for this Constitution:","Out of Scope","Out of Scope","atomic","","Manual Reviewed — Confirmed","§1.4 explicit out-of-scope item.","gate-a.2-semantic-engine","No","Platform","","N/A",""
"C1-1.4-006","12","11","12","Part 0 — Authority","1","Authority & Hierarchy","1.4","SP-C1-1.4-6560e250","Technology stack","","Technology stack","Out of Scope","Out of Scope","span_member","§1.4 out-of-scope bullet.","Manual Reviewed — Confirmed","§1.4 explicit out-of-scope item.","gate-a.2-semantic-engine","No","Platform","","N/A",""
"C1-1.4-007","12","11","12","Part 0 — Authority","1","Authority & Hierarchy","1.4","SP-C1-1.4-b5118730","Internal implementation details","","Internal implementation details","Out of Scope","Out of Scope","span_member","§1.4 out-of-scope bullet.","Manual Reviewed — Confirmed","§1.4 explicit out-of-scope item.","gate-a.2-semantic-engine","No","Platform","","N/A",""
"C1-1.4-008","12","11","12","Part 0 — Authority","1","Authority & Hierarchy","1.4","SP-C1-1.4-1dabe467","Database architecture","","Database architecture","Out of Scope","Out of Scope","span_member","§1.4 out-of-scope bullet.","Manual Reviewed — Confirmed","§1.4 explicit out-of-scope item.","gate-a.2-semantic-engine","No","Platform","","N/A",""
"C1-1.4-009","12","11","12","Part 0 — Authority","1","Authority & Hierarchy","1.4","SP-C1-1.4-59571055","Integration implementation details Implementation detail belongs in Architecture & Implementation Guides.","","Integration implementation details Implementation detail belongs in Architecture & Implementation Guides.","Out of Scope","Out of Scope","span_member","§1.4 out-of-scope bullet.","Manual Reviewed — Confirmed","§1.4 explicit out-of-scope item.","gate-a.2-semantic-engine","No","Platform","","N/A",""
"C1-1.5-001","12","12","12","Part 0 — Authority","1","Authority & Hierarchy","1.5","SP-C1-1.5-74c68d8d","Normative keywords shall be interpreted exactly as defined in this chapter.","","Normative keywords shall be interpreted exactly as defined in this chapter.","Explicit Shall","Product Enforceable Requirement","atomic","","Manual Reviewed — Confirmed","Explicit shall modal.","gate-a.2-semantic-engine","Yes","Platform","","Code / Runtime / UI",""
"C1-1.5-002","12","12","12","Part 0 — Authority","1","Authority & Hierarchy","1.5","SP-C1-1.5-9c8c5cf5","● Avoid using Must where Should is sufficient.","","● Avoid using Must where Should is sufficient.","Constitution Authoring Guidance","Constitution Authoring Guidance","atomic","","Manual Reviewed — Confirmed","§1.5 Guidance for authors — not a product requirement.","gate-a.2-semantic-engine","No","Platform","","Authoring guidance",""
"C1-1.5-003","12","12","12","Part 0 — Authority","1","Authority & Hierarchy","1.5","SP-C1-1.5-adebd932","● Use Must only when a true obligation exists.","","● Use Must only when a true obligation exists.","Constitution Authoring Guidance","Constitution Authoring Guidance","atomic","","Manual Reviewed — Confirmed","§1.5 Guidance for authors — not a product requirement.","gate-a.2-semantic-engine","No","Platform","","Authoring guidance",""
"C2-2.1-001","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.1","SP-C2-2.1-b94556a5","DX OSE shall provide one consistent document lifecycle experience across all operational modules.","","DX OSE shall provide one consistent document lifecycle experience across all operational modules.","Explicit Shall","Product Enforceable Requirement","atomic","","Manual Reviewed — Confirmed","Explicit shall modal.","gate-a.2-semantic-engine","Yes","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.1-002","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.1","SP-C2-2.1-79895670","Principle: The user experience is the contract.","","Principle: The user experience is the contract.","Descriptive","Descriptive Context","atomic","","Manual Reviewed — Confirmed","Descriptive context — no product modal operator.","gate-a.2-semantic-engine","No","Operational Documents / Shared UX","","Documentation",""
"C2-2.1-003","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.1","SP-C2-2.1-64a4835f","The implementation is an internal concern.","","The implementation is an internal concern.","Descriptive","Descriptive Context","atomic","","Manual Reviewed — Confirmed","Descriptive context — no product modal operator.","gate-a.2-semantic-engine","No","Operational Documents / Shared UX","","Documentation",""
"C2-2.1-004","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.1","SP-C2-2.1-5703c4ff","Modules may implement different internal workflows, provided that the user-facing lifecycle remains consistent across the platform.","","Modules may implement different internal workflows, provided that the user-facing lifecycle remains consistent across the platform.","Explicit May","Optional Capability","atomic","","Manual Reviewed — Confirmed","Explicit may modal — optional capability.","gate-a.2-semantic-engine","Yes","Operational Documents / Shared UX","","Runtime",""
"C2-2.1-005","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.1","SP-C2-2.1-5f5d7e00","Internal workflow implementation, workflow step names, and internal status codes must never be exposed to end users.","","Internal workflow implementation, workflow step names, and internal status codes must never be exposed to end users.","Explicit Must","Product Enforceable Requirement","atomic","","Manual Reviewed — Confirmed","Explicit must modal.","gate-a.2-semantic-engine","Yes","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.2-001","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","SP-C2-2.2-c452cd11","Each user-facing lifecycle state shall represent one consistent business meaning across the entire DX OSE ERP Platform.","","Each user-facing lifecycle state shall represent one consistent business meaning across the entire DX OSE ERP Platform.","Explicit Shall","Product Enforceable Requirement","atomic","","Manual Reviewed — Confirmed","Explicit shall modal.","gate-a.2-semantic-engine","Yes","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.2-002","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","SP-C2-2.2-90d8d14f","No module may redefine these meanings.","","No module may redefine these meanings.","Explicit Must Not","Product Enforceable Requirement","atomic","","Manual Reviewed — Confirmed","Prohibition: No ... may ...","gate-a.2-semantic-engine","Yes","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.2-003","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","SP-C2-2.2-b594d8a2","No module may introduce additional user-facing lifecycle states unless they are first ratified in this Constitution.","","No module may introduce additional user-facing lifecycle states unless they are first ratified in this Constitution.","Explicit Must Not","Product Enforceable Requirement","atomic","","Manual Reviewed — Confirmed","Prohibition: No ... may ...","gate-a.2-semantic-engine","Yes","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.2-004","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","SP-C2-2.2-58521e40","Draft Editable; no official operational or financial effect","","Draft Editable; no official operational or financial effect","Governance Definition","Governance Definition","span_member","Lifecycle state table row.","Manual Reviewed — Confirmed","Table/definition row — governance meaning.","gate-a.2-semantic-engine","No","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-005","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","SP-C2-2.2-cffe1e78","Submitted Sent into review","","Submitted Sent into review","Descriptive","Descriptive Context","span_member","Lifecycle state table row.","Manual Reviewed — Confirmed","Descriptive context — no product modal operator.","gate-a.2-semantic-engine","No","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-006","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","SP-C2-2.2-b7398388","In Review In an approval chain","","In Review In an approval chain","Descriptive","Descriptive Context","span_member","Lifecycle state table row.","Manual Reviewed — Confirmed","Descriptive context — no product modal operator.","gate-a.2-semantic-engine","No","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-007","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","SP-C2-2.2-e3c6d50b","Approved *Optional.* Used only when a document has a distinct business stage between final approval and posting","","Approved *Optional.* Used only when a document has a distinct business stage between final approval and posting","Descriptive","Descriptive Context","span_member","Lifecycle state table row.","Manual Reviewed — Confirmed","Descriptive context — no product modal operator.","gate-a.2-semantic-engine","No","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-008","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","SP-C2-2.2-972b7b4e","Posted Official operational and financial effects applied","","Posted Official operational and financial effects applied","Governance Definition","Governance Definition","span_member","Lifecycle state table row.","Manual Reviewed — Confirmed","Table/definition row — governance meaning.","gate-a.2-semantic-engine","No","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-009","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","SP-C2-2.2-c4b57fec","Rejected Terminated; no resubmission of the same document","","Rejected Terminated; no resubmission of the same document","Descriptive","Descriptive Context","span_member","Lifecycle state table row.","Manual Reviewed — Confirmed","Descriptive context — no product modal operator.","gate-a.2-semantic-engine","No","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-010","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","SP-C2-2.2-800b8ed4","Returned Sent back to creator for correction (Send Back)","","Returned Sent back to creator for correction (Send Back)","Descriptive","Descriptive Context","span_member","Lifecycle state table row.","Manual Reviewed — Confirmed","Descriptive context — no product modal operator.","gate-a.2-semantic-engine","No","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-011","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","SP-C2-2.2-e2cbd270","Void Formally cancelled before becoming part of the permanent business record","","Void Formally cancelled before becoming part of the permanent business record","Descriptive","Descriptive Context","span_member","Lifecycle state table row.","Manual Reviewed — Confirmed","Descriptive context — no product modal operator.","gate-a.2-semantic-engine","No","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-012","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","SP-C2-2.2-2d406a17","Cancel is an action.","","Cancel is an action.","Descriptive","Descriptive Context","atomic","","Manual Reviewed — Confirmed","Descriptive context — no product modal operator.","gate-a.2-semantic-engine","No","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-013","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","SP-C2-2.2-8cfc6a32","Void is the lifecycle state resulting from cancellation before the document enters the governed permanent record.","","Void is the lifecycle state resulting from cancellation before the document enters the governed permanent record.","Descriptive","Descriptive Context","atomic","","Manual Reviewed — Confirmed","Descriptive context — no product modal operator.","gate-a.2-semantic-engine","No","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-014","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","SP-C2-2.2-2dda88c9","A separate user-facing state named Cancelled shall not be introduced unless ratified in this Constitution (*see BDR-007*).","","A separate user-facing state named Cancelled shall not be introduced unless ratified in this Constitution (*see BDR-007*).","Explicitly Excluded Pending Ratification","Excluded Pending Ratification","atomic","","Manual Reviewed — Confirmed","§2.2 BDR-007 exclusion clause.","gate-a.2-semantic-engine","No","Operational Documents / Shared UX","","Exclusion register",""
"C2-2.3-001","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.3","SP-C2-2.3-c6077bcd","Each module shall provide a consistent mapping between internal workflow states and standardized user-facing lifecycle states.","","Each module shall provide a consistent mapping between internal workflow states and standardized user-facing lifecycle states.","Explicit Shall","Product Enforceable Requirement","atomic","","Manual Reviewed — Confirmed","Explicit shall modal.","gate-a.2-semantic-engine","Yes","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.3-002","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.3","SP-C2-2.3-dd0c9ced","Internal workflow identifiers, status codes, enum names, workflow step names, and other implementation details must never be exposed to end users.","","Internal workflow identifiers, status codes, enum names, workflow step names, and other implementation details must never be exposed to end users.","Explicit Must","Product Enforceable Requirement","atomic","","Manual Reviewed — Confirmed","Explicit must modal.","gate-a.2-semantic-engine","Yes","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.3-003","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.3","SP-C2-2.3-43222db9","Identical business outcomes shall always resolve to the same standardized user-facing lifecycle state across the DX OSE platform.","","Identical business outcomes shall always resolve to the same standardized user-facing lifecycle state across the DX OSE platform.","Explicit Shall","Product Enforceable Requirement","atomic","","Manual Reviewed — Confirmed","Explicit shall modal.","gate-a.2-semantic-engine","Yes","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.4.1-001","14","14","14","Part I — Governance Constitution","2","Document Lifecycle","2.4.1","SP-C2-2.4.1-490004fd","Posting is the single business commit point for all operational and financial effects within the DX OSE ERP Platform.","","Posting is the single business commit point for all operational and financial effects within the DX OSE ERP Platform.","Descriptive","Descriptive Context","atomic","","Manual Reviewed — Confirmed","Descriptive context — no product modal operator.","gate-a.2-semantic-engine","No","Operational Documents / Shared UX","","Documentation",""
"C2-2.4.1-002","14","14","14","Part I — Governance Constitution","2","Document Lifecycle","2.4.1","SP-C2-2.4.1-f21837f2","No operational or financial effect shall be considered official before Posting unless this Constitution explicitly states otherwise.","","No operational or financial effect shall be considered official before Posting unless this Constitution explicitly states otherwise.","Explicit Shall","Product Enforceable Requirement","atomic","","Manual Reviewed — Confirmed","Explicit shall modal.","gate-a.2-semantic-engine","Yes","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.4.2-001","14","14","14","Part I — Governance Constitution","2","Document Lifecycle","2.4.2","SP-C2-2.4.2-b7e5df25","Operational reports represent official business results, including stock balance, inventory ledger, inventory movement history, inventory valuation, and financial inventory reports.","","Operational reports represent official business results, including stock balance, inventory ledger, inventory movement history, inventory valuation, and financial inventory reports.","Descriptive","Descriptive Context","atomic","","Manual Reviewed — Confirmed","Descriptive context — no product modal operator.","gate-a.2-semantic-engine","No","Operational Documents / Shared UX","","Documentation",""
"C2-2.4.2-002","14","14","14","Part I — Governance Constitution","2","Document Lifecycle","2.4.2","SP-C2-2.4.2-f46050ad","Rule: Operational reports shall derive operational and financial results exclusively from Posted documents.","","Rule: Operational reports shall derive operational and financial results exclusively from Posted documents.","Explicit Shall","Product Enforceable Requirement","atomic","","Manual Reviewed — Confirmed","Explicit shall modal.","gate-a.2-semantic-engine","Yes","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.4.3-001","14","14","14","Part I — Governance Constitution","2","Document Lifecycle","2.4.3","SP-C2-2.4.3-7e8a5af5","Workflow reports represent workflow progress and operational monitoring (pending approvals, finance/GM queues, reviewer packs, SLA dashboards, draft monitoring).","","Workflow reports represent workflow progress and operational monitoring (pending approvals, finance/GM queues, reviewer packs, SLA dashboards, draft monitoring).","Descriptive","Descriptive Context","atomic","","Manual Reviewed — Confirmed","Descriptive context — no product modal operator.","gate-a.2-semantic-engine","No","Operational Documents / Shared UX","","Documentation",""
"C2-2.4.3-002","14","14","14","Part I — Governance Constitution","2","Document Lifecycle","2.4.3","SP-C2-2.4.3-5bfbec90","Rule: Workflow reports may include Draft, Submitted, In Review, Returned, Rejected, Posted, and other lifecycle states according to business requirements.","","Rule: Workflow reports may include Draft, Submitted, In Review, Returned, Rejected, Posted, and other lifecycle states according to business requirements.","Explicit May","Optional Capability","atomic","","Manual Reviewed — Confirmed","Explicit may modal — optional capability.","gate-a.2-semantic-engine","Yes","Operational Documents / Shared UX","","Runtime",""
"C2-2.4.4-001","14","14","14","Part I — Governance Constitution","2","Document Lifecycle","2.4.4","SP-C2-2.4.4-6ac16317","Evidence Package is not a reporting category.","","Evidence Package is not a reporting category.","Descriptive","Descriptive Context","atomic","","Manual Reviewed — Confirmed","Descriptive context — no product modal operator.","gate-a.2-semantic-engine","No","Operational Documents / Shared UX","","Documentation",""
"C2-2.4.4-002","14","14","14","Part I — Governance Constitution","2","Document Lifecycle","2.4.4","SP-C2-2.4.4-ad07d442","It comprises document-level proof artifacts (PDF, print output, evidence export, timeline, audit trail, supporting attachments) for one document.","","It comprises document-level proof artifacts (PDF, print output, evidence export, timeline, audit trail, supporting attachments) for one document.","Descriptive","Descriptive Context","atomic","","Manual Reviewed — Confirmed","Descriptive context — no product modal operator.","gate-a.2-semantic-engine","No","Operational Documents / Shared UX","","Documentation",""
"C2-2.4.4-003","14","14","14","Part I — Governance Constitution","2","Document Lifecycle","2.4.4","SP-C2-2.4.4-af26f237","It is governed under Document Composition and Audit chapters.","","It is governed under Document Composition and Audit chapters.","Descriptive","Descriptive Context","atomic","","Manual Reviewed — Confirmed","Descriptive context — no product modal operator.","gate-a.2-semantic-engine","No","Operational Documents / Shared UX","","Documentation",""
"C2-2.4.5-001","14","14","14","Part I — Governance Constitution","2","Document Lifecycle","2.4.5","SP-C2-2.4.5-a71d3e7f","Inventory reservation is governed by business policy.","","Inventory reservation is governed by business policy.","Descriptive","Descriptive Context","atomic","","Manual Reviewed — Confirmed","Descriptive context — no product modal operator.","gate-a.2-semantic-engine","No","Operational Documents / Shared UX","","Documentation",""
"C2-2.4.5-002","14","14","14","Part I — Governance Constitution","2","Document Lifecycle","2.4.5","SP-C2-2.4.5-32e332cf","The default DX OSE behavior is no reservation before Posting unless explicitly defined by a ratified business policy.","","The default DX OSE behavior is no reservation before Posting unless explicitly defined by a ratified business policy.","Descriptive","Descriptive Context","atomic","","Manual Reviewed — Confirmed","Descriptive context — no product modal operator.","gate-a.2-semantic-engine","No","Operational Documents / Shared UX","","Documentation",""
"C2-2.5-001","14","14","14","Part I — Governance Constitution","2","Document Lifecycle","2.5","SP-C2-2.5-16012fb8","Editability shall be governed exclusively by document lifecycle state, not by individual screen implementations.","","Editability shall be governed exclusively by document lifecycle state, not by individual screen implementations.","Explicit Shall","Product Enforceable Requirement","atomic","","Manual Reviewed — Confirmed","Explicit shall modal.","gate-a.2-semantic-engine","Yes","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.6-001","14","14","15","Part I — Governance Constitution","2","Document Lifecycle","2.6","SP-C2-2.6-427ab940","Delete is permitted only while the document is in Draft.","","Delete is permitted only while the document is in Draft.","Descriptive","Descriptive Context","atomic","","Manual Reviewed — Confirmed","Descriptive context — no product modal operator.","gate-a.2-semantic-engine","No","Operational Documents / Shared UX","","Documentation",""
"C2-2.6-002","14","14","15","Part I — Governance Constitution","2","Document Lifecycle","2.6","SP-C2-2.6-c6085bc4","Once a document leaves Draft, Delete must not be available.","","Once a document leaves Draft, Delete must not be available.","Explicit Must Not","Product Enforceable Requirement","atomic","","Manual Reviewed — Confirmed","Explicit must/shall not modal.","gate-a.2-semantic-engine","Yes","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.6-003","14","14","15","Part I — Governance Constitution","2","Document Lifecycle","2.6","SP-C2-2.6-1024a782","Business termination shall use governed lifecycle actions (Cancel, Reject, Void, Close, etc.).","","Business termination shall use governed lifecycle actions (Cancel, Reject, Void, Close, etc.).","Explicit Shall","Product Enforceable Requirement","atomic","","Manual Reviewed — Confirmed","Explicit shall modal.","gate-a.2-semantic-engine","Yes","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.6-004","15","14","15","Part I — Governance Constitution","2","Document Lifecycle","2.6","SP-C2-2.6-40e7d70b","Deletion permanently removes a document before it becomes part of the business record.","","Deletion permanently removes a document before it becomes part of the business record.","Descriptive","Descriptive Context","atomic","","Manual Reviewed — Confirmed","Descriptive context — no product modal operator.","gate-a.2-semantic-engine","No","Operational Documents / Shared UX","","Documentation",""
"C2-2.6-005","15","14","15","Part I — Governance Constitution","2","Document Lifecycle","2.6","SP-C2-2.6-f307f742","Once a document enters the governed lifecycle, business termination actions shall replace deletion.","","Once a document enters the governed lifecycle, business termination actions shall replace deletion.","Explicit Shall","Product Enforceable Requirement","atomic","","Manual Reviewed — Confirmed","Explicit shall modal.","gate-a.2-semantic-engine","Yes","Operational Documents / Shared UX","","Code / Runtime / UI",""
