"fresh_id","pdf_page","part","chapter_num","chapter_title","section","exact_pdf_source_text","normalized_atomic_clause","strength_classification","category_bucket","applies_to","related_sections","verification_type","extraction_note"
"C1-1.4-010","11","Part 0 — Authority","1","Authority & Hierarchy","1.4","Implementation detail belongs in Architecture & Implementation Guides.","Implementation detail belongs in Architecture & Implementation Guides.","Out of Scope","Out-of-Scope Clauses","Platform","","N/A",""
"C1-1.5-001","12","Part 0 — Authority","1","Authority & Hierarchy","1.5","Normative keywords shall be interpreted exactly as defined in this chapter.","Normative keywords shall be interpreted exactly as defined in this chapter.","Explicit Shall","Enforceable Normative Requirements","Platform","","Code / Runtime / UI",""
"C2-2.1-001","13","Part I — Governance Constitution","2","Document Lifecycle","2.1","DX OSE shall provide one consistent document lifecycle experience across all operational modules. Principle: The user experience is the contract. The implementation is an internal concern. Modules may implement different internal workflows, provided that the user-facing lifecycle remains consistent across the platform. Internal workflow implementation, workflow step names, and internal status codes must never be exposed to end users.","DX OSE shall provide one consistent document lifecycle experience across all operational modules. Principle: The user experience is the contract. The implementation is an internal concern. Modules may implement different internal workflows, provided that the user-facing lifecycle remains consistent across the platform. Internal workflow implementation, workflow step names, and internal status codes must never be exposed to end users.","Explicit Must","Enforceable Normative Requirements","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.2-001","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","Each user-facing lifecycle state shall represent one consistent business meaning across the entire DX OSE ERP Platform. No module may redefine these meanings. No module may introduce additional user-facing lifecycle states unless they are first ratified in this Constitution.","Each user-facing lifecycle state shall represent one consistent business meaning across the entire DX OSE ERP Platform. No module may redefine these meanings. No module may introduce additional user-facing lifecycle states unless they are first ratified in this Constitution.","Explicit Shall","Enforceable Normative Requirements","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.2-002","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","Draft Editable; no official operational or financial effect","Draft Editable; no official operational or financial effect","Governance Definition","Descriptive Governance Statements","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-003","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","Submitted Sent into review","Submitted Sent into review","Governance Definition","Descriptive Governance Statements","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-004","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","In Review In an approval chain","In Review In an approval chain","Governance Definition","Descriptive Governance Statements","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-005","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","Approved *Optional.* Used only when a document has a distinct business stage between final","Approved *Optional.* Used only when a document has a distinct business stage between final","Governance Definition","Descriptive Governance Statements","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-006","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","approval and posting","approval and posting","Governance Definition","Descriptive Governance Statements","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-007","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","Posted Official operational and financial effects applied","Posted Official operational and financial effects applied","Governance Definition","Descriptive Governance Statements","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-008","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","Rejected Terminated; no resubmission of the same document","Rejected Terminated; no resubmission of the same document","Governance Definition","Descriptive Governance Statements","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-009","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","Returned Sent back to creator for correction (Send Back)","Returned Sent back to creator for correction (Send Back)","Governance Definition","Descriptive Governance Statements","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-010","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","Void Formally cancelled before becoming part of the permanent business record","Void Formally cancelled before becoming part of the permanent business record","Governance Definition","Descriptive Governance Statements","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-011","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","Closed Operationally complete without Posted being the final state (e.g. custody returned, get-","Closed Operationally complete without Posted being the final state (e.g. custody returned, get-","Governance Definition","Descriptive Governance Statements","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-012","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","pass completed, loan ended)","pass completed, loan ended)","Governance Definition","Descriptive Governance Statements","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-013","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","Cancel and Void","Cancel and Void","Governance Definition","Descriptive Governance Statements","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-014","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","Cancel is an action.","Cancel is an action.","Governance Definition","Descriptive Governance Statements","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-015","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","Void is the lifecycle state resulting from cancellation before the document enters the governed permanent record.","Void is the lifecycle state resulting from cancellation before the document enters the governed permanent record.","Governance Definition","Descriptive Governance Statements","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-016","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","A separate user-facing state named Cancelled shall not be introduced unless ratified in this Constitution (*see BDR-007*).","A separate user-facing state named Cancelled shall not be introduced unless ratified in this Constitution (*see BDR-007*).","Explicitly Excluded Pending Ratification","Explicitly Excluded Pending Ratification","Operational Documents / Shared UX","","Exclusion register verification",""
"C2-2.3-001","13","Part I — Governance Constitution","2","Document Lifecycle","2.3","Each module shall provide a consistent mapping between internal workflow states and standardized user-facing lifecycle states. Internal workflow identifiers, status codes, enum names, workflow step names, and other implementation details must never be exposed to end users. Identical business outcomes shall always resolve to the same standardized user-facing lifecycle state across the DX OSE platform.","Each module shall provide a consistent mapping between internal workflow states and standardized user-facing lifecycle states. Internal workflow identifiers, status codes, enum names, workflow step names, and other implementation details must never be exposed to end users. Identical business outcomes shall always resolve to the same standardized user-facing lifecycle state across the DX OSE platform.","Explicit Must","Enforceable Normative Requirements","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.4.1-001","14","Part I — Governance Constitution","2","Document Lifecycle","2.4.1","Posting is the single business commit point for all operational and financial effects within the DX OSE ERP Platform. No operational or financial effect shall be considered official before Posting unless this Constitution explicitly states otherwise.","Posting is the single business commit point for all operational and financial effects within the DX OSE ERP Platform. No operational or financial effect shall be considered official before Posting unless this Constitution explicitly states otherwise.","Explicit Shall","Enforceable Normative Requirements","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.4.2-001","14","Part I — Governance Constitution","2","Document Lifecycle","2.4.2","Operational reports represent official business results, including stock balance, inventory ledger, inventory movement history, inventory valuation, and financial inventory reports.","Operational reports represent official business results, including stock balance, inventory ledger, inventory movement history, inventory valuation, and financial inventory reports.","Descriptive","Descriptive Governance Statements","Operational Documents / Shared UX","","Documentation",""
"C2-2.4.2-002","14","Part I — Governance Constitution","2","Document Lifecycle","2.4.2","Rule: Operational reports shall derive operational and financial results exclusively from Posted documents.","Rule: Operational reports shall derive operational and financial results exclusively from Posted documents.","Explicit Shall","Enforceable Normative Requirements","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.4.3-001","14","Part I — Governance Constitution","2","Document Lifecycle","2.4.3","Workflow reports represent workflow progress and operational monitoring (pending approvals, finance/GM queues, reviewer packs, SLA dashboards, draft monitoring).","Workflow reports represent workflow progress and operational monitoring (pending approvals, finance/GM queues, reviewer packs, SLA dashboards, draft monitoring).","Descriptive","Descriptive Governance Statements","Operational Documents / Shared UX","","Documentation",""
"C2-2.4.3-002","14","Part I — Governance Constitution","2","Document Lifecycle","2.4.3","Rule: Workflow reports may include Draft, Submitted, In Review, Returned, Rejected, Posted, and other lifecycle states according to business requirements.","Rule: Workflow reports may include Draft, Submitted, In Review, Returned, Rejected, Posted, and other lifecycle states according to business requirements.","Explicit May","Optional Capabilities","Operational Documents / Shared UX","","Runtime",""
"C2-2.4.4-001","14","Part I — Governance Constitution","2","Document Lifecycle","2.4.4","Evidence Package is not a reporting category. It comprises document-level proof artifacts (PDF, print output, evidence export, timeline, audit trail, supporting attachments) for one document. It is governed under Document Composition and Audit chapters.","Evidence Package is not a reporting category. It comprises document-level proof artifacts (PDF, print output, evidence export, timeline, audit trail, supporting attachments) for one document. It is governed under Document Composition and Audit chapters.","Descriptive","Descriptive Governance Statements","Operational Documents / Shared UX","","Documentation",""
"C2-2.4.5-001","14","Part I — Governance Constitution","2","Document Lifecycle","2.4.5","Inventory reservation is governed by business policy. The default DX OSE behavior is no reservation before Posting unless explicitly defined by a ratified business policy.","Inventory reservation is governed by business policy. The default DX OSE behavior is no reservation before Posting unless explicitly defined by a ratified business policy.","Descriptive","Descriptive Governance Statements","Operational Documents / Shared UX","","Documentation",""
"C2-2.5-001","14","Part I — Governance Constitution","2","Document Lifecycle","2.5","Editability shall be governed exclusively by document lifecycle state, not by individual screen
implementations.","Editability shall be governed exclusively by document lifecycle state, not by individual screen
implementations.","Explicit Shall","Enforceable Normative Requirements","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.5-002","14","Part I — Governance Constitution","2","Document Lifecycle","2.5","Draft Yes","Draft Yes","Descriptive","Descriptive Governance Statements","Operational Documents / Shared UX","","Documentation",""
"C2-2.5-003","14","Part I — Governance Constitution","2","Document Lifecycle","2.5","Returned Yes","Returned Yes","Descriptive","Descriptive Governance Statements","Operational Documents / Shared UX","","Documentation",""
"C2-2.5-004","14","Part I — Governance Constitution","2","Document Lifecycle","2.5","Submitted No","Submitted No","Descriptive","Descriptive Governance Statements","Operational Documents / Shared UX","","Documentation",""
"C2-2.5-005","14","Part I — Governance Constitution","2","Document Lifecycle","2.5","In Review No","In Review No","Descriptive","Descriptive Governance Statements","Operational Documents / Shared UX","","Documentation",""
"C2-2.5-006","14","Part I — Governance Constitution","2","Document Lifecycle","2.5","Posted No","Posted No","Descriptive","Descriptive Governance Statements","Operational Documents / Shared UX","","Documentation",""
"C2-2.5-007","14","Part I — Governance Constitution","2","Document Lifecycle","2.5","Rejected No","Rejected No","Descriptive","Descriptive Governance Statements","Operational Documents / Shared UX","","Documentation",""
"C2-2.5-008","14","Part I — Governance Constitution","2","Document Lifecycle","2.5","Void / Cancelled No","Void / Cancelled No","Descriptive","Descriptive Governance Statements","Operational Documents / Shared UX","","Documentation",""
"C2-2.5-009","14","Part I — Governance Constitution","2","Document Lifecycle","2.5","Closed No","Closed No","Descriptive","Descriptive Governance Statements","Operational Documents / Shared UX","","Documentation",""
"C2-2.6-001","14","Part I — Governance Constitution","2","Document Lifecycle","2.6","Delete is permitted only while the document is in Draft. Once a document leaves Draft, Delete must not be available. Business termination shall use governed lifecycle actions (Cancel, Reject, Void, Close, etc.). Deletion permanently removes a document before it becomes part of the business record. Once a document enters the governed lifecycle, business termination actions shall replace deletion.","Delete is permitted only while the document is in Draft. Once a document leaves Draft, Delete must not be available. Business termination shall use governed lifecycle actions (Cancel, Reject, Void, Close, etc.). Deletion permanently removes a document before it becomes part of the business record. Once a document enters the governed lifecycle, business termination actions shall replace deletion.","Explicit Must Not","Enforceable Normative Requirements","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.7-001","15","Part I — Governance Constitution","2","Document Lifecycle","2.7","After Return: Edit → Submit. There shall be no separate action named Re-submit. Submit always represents entering the workflow, whether for the first time or after Return. After Reject, the same document must not re-enter workflow. A new document is required.","After Return: Edit → Submit. There shall be no separate action named Re-submit. Submit always represents entering the workflow, whether for the first time or after Return. After Reject, the same document must not re-enter workflow. A new document is required.","Explicit Must Not","Enforceable Normative Requirements","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.8-001","15","Part I — Governance Constitution","2","Document Lifecycle","2.8","Every document detail view shall present a unified timeline showing, as applicable: current state, workflow step, actor, date and time, mandatory reasons, workflow comments, system events, and duration (when applicable).","Every document detail view shall present a unified timeline showing, as applicable: current state, workflow step, actor, date and time, mandatory reasons, workflow comments, system events, and duration (when applicable).","Explicit Shall","Enforceable Normative Requirements","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.9-001","15","Part I — Governance Constitution","2","Document Lifecycle","2.9","Cancel Creator action Void (per Ch. 2.2)","Cancel Creator action Void (per Ch. 2.2)","Governance Definition","Descriptive Governance Statements","Operational Documents / Shared UX","","Documentation",""
"C2-2.9-002","15","Part I — Governance Constitution","2","Document Lifecycle","2.9","Reject Reviewer workflow action Rejected","Reject Reviewer workflow action Rejected","Governance Definition","Descriptive Governance Statements","Operational Documents / Shared UX","","Documentation",""
"C2-2.9-003","15","Part I — Governance Constitution","2","Document Lifecycle","2.9","Close Lifecycle completion action Closed","Close Lifecycle completion action Closed","Governance Definition","Descriptive Governance Statements","Operational Documents / Shared UX","","Documentation",""
"C2-2.10-001","15","Part I — Governance Constitution","2","Document Lifecycle","2.10","Workflow engine implementation, state machine design, database schema, API contracts, technical implementation details — Architecture & Implementation Guides.","Workflow engine implementation, state machine design, database schema, API contracts, technical implementation details — Architecture & Implementation Guides.","Out of Scope","Out-of-Scope Clauses","Operational Documents / Shared UX","","N/A",""
"C3-3.1-001","16","Part I — Governance Constitution","3","Workflow & Actions","3.1","Users shall see only the actions they need for their role and document state. Action behavior shall remain consistent across all DX OSE modules regardless of workflow implementation. No module may invent alternative names for standard actions unless ratified in this Constitution.","Users shall see only the actions they need for their role and document state. Action behavior shall remain consistent across all DX OSE modules regardless of workflow implementation. No module may invent alternative names for standard actions unless ratified in this Constitution.","Explicit Shall","Enforceable Normative Requirements","Workflow / Shared UX","","Code / Runtime / UI",""
"C3-3.2-001","16","Part I — Governance Constitution","3","Workflow & Actions","3.2","Save Draft, Submit, Cancel. Cancel is an action, not a lifecycle state. Alternative labels with the same meaning (Abort, Discard, Cancel Document) must not be used.","Save Draft, Submit, Cancel. Cancel is an action, not a lifecycle state. Alternative labels with the same meaning (Abort, Discard, Cancel Document) must not be used.","Explicit Must Not","Enforceable Normative Requirements","Workflow / Shared UX","","Code / Runtime / UI",""
"C3-3.3-001","16","Part I — Governance Constitution","3","Workflow & Actions","3.3","Approve, Send Back, Reject. Reviewer actions shall be available only while the document is actively assigned to the current reviewer according to workflow definition and the permission model.","Approve, Send Back, Reject. Reviewer actions shall be available only while the document is actively assigned to the current reviewer according to workflow definition and the permission model.","Explicit Shall","Enforceable Normative Requirements","Workflow / Shared UX","","Code / Runtime / UI",""
"C3-3.4-001","16","Part I — Governance Constitution","3","Workflow & Actions","3.4","Ends document No Yes","Ends document No Yes","Descriptive","Descriptive Governance Statements","Workflow / Shared UX","","Documentation",""
"C3-3.4-002","16","Part I — Governance Constitution","3","Workflow & Actions","3.4","Allows edit Yes No","Allows edit Yes No","Descriptive","Descriptive Governance Statements","Workflow / Shared UX","","Documentation",""
"C3-3.4-003","16","Part I — Governance Constitution","3","Workflow & Actions","3.4","Reason required Yes Yes","Reason required Yes Yes","Descriptive","Descriptive Governance Statements","Workflow / Shared UX","","Documentation",""
"C3-3.4-004","16","Part I — Governance Constitution","3","Workflow & Actions","3.4","Next step Edit → Submit New document if operation repeats","Next step Edit → Submit New document if operation repeats","Descriptive","Descriptive Governance Statements","Workflow / Shared UX","","Documentation",""
"C3-3.4-005","16","Part I — Governance Constitution","3","Workflow & Actions","3.4","Business transaction Continues Terminates","Business transaction Continues Terminates","Descriptive","Descriptive Governance Statements","Workflow / Shared UX","","Documentation",""
"C3-3.5-001","16","Part I — Governance Constitution","3","Workflow & Actions","3.5","There shall be only one primary action for the current document state.","There shall be only one primary action for the current document state.","Explicit Shall","Enforceable Normative Requirements","Workflow / Shared UX","","Code / Runtime / UI",""
"C3-3.6-001","16","Part I — Governance Constitution","3","Workflow & Actions","3.6","Primary → Secondary → Neutral → Danger","Primary → Secondary → Neutral → Danger","Descriptive","Descriptive Governance Statements","Workflow / Shared UX","","Documentation",""
"C3-3.7-001","16","Part I — Governance Constitution","3","Workflow & Actions","3.7","Workflow Contracts & Who; when; routing; next step","Workflow Contracts & Who; when; routing; next step","Governance Definition","Descriptive Governance Statements","Workflow / Shared UX","","Documentation",""
"C3-3.7-002","16","Part I — Governance Constitution","3","Workflow & Actions","3.7","This Constitution Meaning; behavior; terminology; confirmation rules; mandatory reasons;","This Constitution Meaning; behavior; terminology; confirmation rules; mandatory reasons;","Governance Definition","Descriptive Governance Statements","Workflow / Shared UX","","Documentation",""
"C3-3.8-001","16","Part I — Governance Constitution","3","Workflow & Actions","3.8","Icons, colors, visual styling, animations — DX OSE UX Constitution.","Icons, colors, visual styling, animations — DX OSE UX Constitution.","Out of Scope","Out-of-Scope Clauses","Workflow / Shared UX","","N/A",""
"C4-4.1-001","17","Part I — Governance Constitution","4","Operation Permissions","4.1","Operation permissions govern authorization only and shall never replace workflow validation, lifecycle validation, or business rule enforcement. The Access Control Catalog (ACC) is the single source of truth for permissions.","Operation permissions govern authorization only and shall never replace workflow validation, lifecycle validation, or business rule enforcement. The Access Control Catalog (ACC) is the single source of truth for permissions.","Explicit Shall","Enforceable Normative Requirements","ACC / Backend Authorization","","Code / Runtime / UI",""
"C4-4.2-001","17","Part I — Governance Constitution","4","Operation Permissions","4.2","View","View","Governance Definition","Descriptive Governance Statements","ACC / Backend Authorization","","Documentation",""
"C4-4.2-002","17","Part I — Governance Constitution","4","Operation Permissions","4.2","Create","Create","Governance Definition","Descriptive Governance Statements","ACC / Backend Authorization","","Documentation",""
"C4-4.2-003","17","Part I — Governance Constitution","4","Operation Permissions","4.2","Edit","Edit","Governance Definition","Descriptive Governance Statements","ACC / Backend Authorization","","Documentation",""
"C4-4.2-004","17","Part I — Governance Constitution","4","Operation Permissions","4.2","Delete","Delete","Governance Definition","Descriptive Governance Statements","ACC / Backend Authorization","","Documentation",""
"C4-4.2-005","17","Part I — Governance Constitution","4","Operation Permissions","4.2","Submit","Submit","Governance Definition","Descriptive Governance Statements","ACC / Backend Authorization","","Documentation",""
"C4-4.2-006","17","Part I — Governance Constitution","4","Operation Permissions","4.2","Approve","Approve","Governance Definition","Descriptive Governance Statements","ACC / Backend Authorization","","Documentation",""
"C4-4.2-007","17","Part I — Governance Constitution","4","Operation Permissions","4.2","Reject","Reject","Governance Definition","Descriptive Governance Statements","ACC / Backend Authorization","","Documentation",""
"C4-4.2-008","17","Part I — Governance Constitution","4","Operation Permissions","4.2","Send Back","Send Back","Governance Definition","Descriptive Governance Statements","ACC / Backend Authorization","","Documentation",""
"C4-4.2-009","17","Part I — Governance Constitution","4","Operation Permissions","4.2","Cancel","Cancel","Governance Definition","Descriptive Governance Statements","ACC / Backend Authorization","","Documentation",""
"C4-4.2-010","17","Part I — Governance Constitution","4","Operation Permissions","4.2","Post","Post","Governance Definition","Descriptive Governance Statements","ACC / Backend Authorization","","Documentation",""
"C4-4.2-011","17","Part I — Governance Constitution","4","Operation Permissions","4.2","Reopen","Reopen","Governance Definition","Descriptive Governance Statements","ACC / Backend Authorization","","Documentation",""
"C4-4.2-012","17","Part I — Governance Constitution","4","Operation Permissions","4.2","Close","Close","Governance Definition","Descriptive Governance Statements","ACC / Backend Authorization","","Documentation",""
"C4-4.2-013","17","Part I — Governance Constitution","4","Operation Permissions","4.2","Archive","Archive","Governance Definition","Descriptive Governance Statements","ACC / Backend Authorization","","Documentation",""
"C4-4.2-014","17","Part I — Governance Constitution","4","Operation Permissions","4.2","Print, Export, Attach, View Audit.","Print, Export, Attach, View Audit.","Governance Definition","Descriptive Governance Statements","ACC / Backend Authorization","","Documentation",""
"C4-4.2-015","17","Part I — Governance Constitution","4","Operation Permissions","4.2","Evidence Package is part of document representation, not an independent business operation, and","Evidence Package is part of document representation, not an independent business operation, and","Governance Definition","Descriptive Governance Statements","ACC / Backend Authorization","","Documentation",""
"C4-4.2-016","17","Part I — Governance Constitution","4","Operation Permissions","4.2","does not require a separate permission in the current DX OSE release.","does not require a separate permission in the current DX OSE release.","Governance Definition","Descriptive Governance Statements","ACC / Backend Authorization","","Documentation",""
"C4-4.3-001","17","Part I — Governance Constitution","4","Operation Permissions","4.3","Permissions shall never bypass document lifecycle rules.","Permissions shall never bypass document lifecycle rules.","Explicit Shall","Enforceable Normative Requirements","ACC / Backend Authorization","","Code / Runtime / UI",""
"C4-4.3-002","17","Part I — Governance Constitution","4","Operation Permissions","4.3","Permissions grant eligibility, not execution authority.","Permissions grant eligibility, not execution authority.","Normative Rule by Section/Table Context","Enforceable Normative Requirements","ACC / Backend Authorization","","Code / Runtime / UI",""
"C4-4.3-003","17","Part I — Governance Constitution","4","Operation Permissions","4.3","Action Allowed = Permission + Workflow + Lifecycle + Business Rules + Scope.","Action Allowed = Permission + Workflow + Lifecycle + Business Rules + Scope.","Normative Rule by Section/Table Context","Enforceable Normative Requirements","ACC / Backend Authorization","","Code / Runtime / UI",""
"C4-4.3-004","17","Part I — Governance Constitution","4","Operation Permissions","4.3","Modules shall not introduce alternative operation names for standardized operations.","Modules shall not introduce alternative operation names for standardized operations.","Explicit Must Not","Enforceable Normative Requirements","ACC / Backend Authorization","","Code / Runtime / UI",""
"C4-4.4-001","17","Part I — Governance Constitution","4","Operation Permissions","4.4","Permission key naming, role matrix maintenance, role hierarchy, permission inheritance, technical authorization implementation — ACC.","Permission key naming, role matrix maintenance, role hierarchy, permission inheritance, technical authorization implementation — ACC.","Out of Scope","Out-of-Scope Clauses","ACC / Backend Authorization","","N/A",""
"C5-5.1-001","18","Part I — Governance Constitution","5","Posting","5.1","Posting is the single irreversible business commit point for all operational and financial effects within the DX OSE Platform. Posting is the only operation permitted to create official operational and financial business effects. Documents become business-immutable after Posting except through formally governed reversal or adjustment procedures.","Posting is the single irreversible business commit point for all operational and financial effects within the DX OSE Platform. Posting is the only operation permitted to create official operational and financial business effects. Documents become business-immutable after Posting except through formally governed reversal or adjustment procedures.","Descriptive","Descriptive Governance Statements","Posting / Backend","","Documentation",""
"C5-5.2-001","18","Part I — Governance Constitution","5","Posting","5.2","Before Posting, the platform shall verify: user authority","Before Posting, the platform shall verify: user authority","Explicit Shall","Enforceable Normative Requirements","Posting / Backend","","Code / Runtime / UI",""
