fresh_id,chapter,section,requirement_text,category,implementation_target,verification_type,status,severity,frontend_evidence,backend_evidence,database_evidence,runtime_evidence,governance_evidence,tenant_scope_tested,limitations,finding_id,recommended_next_action
C2-2.1-004,2,2.1,"Modules may implement different internal workflows, provided that the user-facing lifecycle remains consistent across the platform.",Optional Capability,Runtime Behavior,Runtime,NOT APPLICABLE,Info,,,,,Register category_bucket=Optional Capability verified unchanged,,Optional capability — not mandatory for compliance,,
C2-2.1-005,2,2.1,"Internal workflow implementation, workflow step names, and internal status codes must never be exposed to end users.",Product Enforceable Requirement,Multiple,Code / Runtime / UI,FAIL,High,"OSE-Frontend/src/app/features/lost-items/lost-items-detail/lost-items-detail.component.html:18-20 [LOST_ITEMS.STATUS] — raw enum key in template, not constitutionUserFacingStateLabel() | OSE-Frontend/src/app/features/lost-items/lost-items-list/lost-items-list.component.html:144-146,199-201 [LOST_ITEMS.STATUS] — raw enum keys in list",,,,,,Lost Items render LOST_ITEMS.STATUS.{enum} instead of constitution lifecycle mapper,FIND-001,
C2-2.2-001,2,2.2,Each user-facing lifecycle state shall represent one consistent business meaning across the entire DX OSE ERP Platform.,Product Enforceable Requirement,Multiple,Code / Runtime / UI,UNVERIFIED / BLOCKED,Medium,OSE-Frontend/src/app/core/utils/constitution-lifecycle.util.ts:15-15 [constitutionUserFacingStateLabel] sha256=941FCAC9A336A56D… — Required symbol `constitutionUserFacingStateLabel` present; ,OSE-backend/src/platform/lifecyclePresentation.service.js:86-86 [mapUserFacingState] sha256=59C396F9812F21C0… — Required symbol `mapUserFacingState` present; ,,,,,Static code evidence only; runtime not executed for this requirement,,
C2-2.2-002,2,2.2,No module may redefine these meanings.,Product Enforceable Requirement,Multiple,Code / Runtime / UI,UNVERIFIED / BLOCKED,Medium,,OSE-backend/src/engines/scope-prisma.factory.js:28-30 [these] sha256=113C6BD60CBA078A… — Keyword `these` from clause | OSE-backend/src/engines/scope-prisma.factory.js:53-55 [these] sha256=113C6BD60CBA078A… — Keyword `these` from clause | OSE-backend/src/services/auditWriter.service.js:14-16 [these] sha256=BB6DBBD6C0EB0EEF… — Keyword `these` from clause; ,,,,,Static code evidence only; runtime not executed for this requirement,,
C2-2.2-003,2,2.2,No module may introduce additional user-facing lifecycle states unless they are first ratified in this Constitution.,Product Enforceable Requirement,Multiple,Code / Runtime / UI,UNVERIFIED / BLOCKED,Medium,OSE-Frontend/src/app/features/dashboard/dashboard.component.ts:1056-1058 [introduce] sha256=1966ADDC5101DDB2… — Keyword `introduce` from clause; ,,,,,,Static code evidence only; runtime not executed for this requirement,,
C2-2.2-004,2,2.2,Draft Editable; no official operational or financial effect,Governance Definition,Governance Documentation,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Governance Definition verified unchanged,,"Governance definition — terminology, not product behavior",,
C2-2.2-005,2,2.2,Submitted Sent into review,Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C2-2.2-006,2,2.2,In Review In an approval chain,Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C2-2.2-007,2,2.2,Approved *Optional.* Used only when a document has a distinct business stage between final approval and posting,Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C2-2.2-008,2,2.2,Posted Official operational and financial effects applied,Governance Definition,Governance Documentation,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Governance Definition verified unchanged,,"Governance definition — terminology, not product behavior",,
C2-2.2-009,2,2.2,Rejected Terminated; no resubmission of the same document,Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C2-2.2-010,2,2.2,Returned Sent back to creator for correction (Send Back),Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C2-2.2-011,2,2.2,Void Formally cancelled before becoming part of the permanent business record,Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C2-2.2-012,2,2.2,Cancel is an action.,Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C2-2.2-013,2,2.2,Void is the lifecycle state resulting from cancellation before the document enters the governed permanent record.,Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C2-2.2-014,2,2.2,A separate user-facing state named Cancelled shall not be introduced unless ratified in this Constitution (*see BDR-007*).,Excluded Pending Ratification,Governance Documentation,Exclusion register,NOT APPLICABLE,Info,,,,,Register category_bucket=Excluded Pending Ratification verified unchanged,,Excluded pending ratification,,
C2-2.3-001,2,2.3,Each module shall provide a consistent mapping between internal workflow states and standardized user-facing lifecycle states.,Product Enforceable Requirement,Multiple,Code / Runtime / UI,UNVERIFIED / BLOCKED,Medium,OSE-Frontend/src/app/core/utils/constitution-lifecycle.util.ts:15-15 [constitutionUserFacingStateLabel] sha256=941FCAC9A336A56D… — Required symbol `constitutionUserFacingStateLabel` present; ,OSE-backend/src/platform/lifecyclePresentation.service.js:86-86 [mapUserFacingState] sha256=59C396F9812F21C0… — Required symbol `mapUserFacingState` present; ,,,,,Static code evidence only; runtime not executed for this requirement,,
C2-2.3-002,2,2.3,"Internal workflow identifiers, status codes, enum names, workflow step names, and other implementation details must never be exposed to end users.",Product Enforceable Requirement,Multiple,Code / Runtime / UI,FAIL,High,"OSE-Frontend/src/app/features/lost-items/lost-items-detail/lost-items-detail.component.html:18-20 [LOST_ITEMS.STATUS] — raw enum key in template, not constitutionUserFacingStateLabel() | OSE-Frontend/src/app/features/lost-items/lost-items-list/lost-items-list.component.html:144-146,199-201 [LOST_ITEMS.STATUS] — raw enum keys in list",,,,,,Lost Items render LOST_ITEMS.STATUS.{enum} instead of constitution lifecycle mapper,FIND-001,
C2-2.3-003,2,2.3,Identical business outcomes shall always resolve to the same standardized user-facing lifecycle state across the DX OSE platform.,Product Enforceable Requirement,Multiple,Code / Runtime / UI,UNVERIFIED / BLOCKED,Medium,,OSE-backend/src/middleware/upload.middleware.js:82-84 [identical] sha256=6E642AD22DF15EA5… — Keyword `identical` from clause | OSE-backend/src/services/item.service.js:1541-1543 [identical] sha256=BE0E80A7F00664DF… — Keyword `identical` from clause; ,,,,,Static code evidence only; runtime not executed for this requirement,,
C2-2.4.1-001,2,2.4.1,Posting is the single business commit point for all operational and financial effects within the DX OSE ERP Platform.,Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C2-2.4.1-002,2,2.4.1,No operational or financial effect shall be considered official before Posting unless this Constitution explicitly states otherwise.,Product Enforceable Requirement,Multiple,Code / Runtime / UI,UNVERIFIED / BLOCKED,Medium,,OSE-backend/src/acc-authority/base-role-permissions.js:9-11 [operational] sha256=6F8EB68A4ED527B7… — Keyword `operational` from clause | OSE-backend/src/acc-authority/step-permission-enforcement.js:3-5 [operational] sha256=494B03743715364D… — Keyword `operational` from clause | OSE-backend/src/constants/role-codes.constants.js:37-39 [operational] sha256=C121869F96BB7FE3… — Keyword `operational` from clause; ,,,,,Static code evidence only; runtime not executed for this requirement,,
C2-2.4.2-001,2,2.4.2,"Operational reports represent official business results, including stock balance, inventory ledger, inventory movement history, inventory valuation, and financial inventory reports.",Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C2-2.4.2-002,2,2.4.2,Rule: Operational reports shall derive operational and financial results exclusively from Posted documents.,Product Enforceable Requirement,Multiple,Code / Runtime / UI,UNVERIFIED / BLOCKED,Medium,,OSE-backend/src/acc-authority/base-role-permissions.js:9-11 [operational] sha256=6F8EB68A4ED527B7… — Keyword `operational` from clause | OSE-backend/src/acc-authority/step-permission-enforcement.js:3-5 [operational] sha256=494B03743715364D… — Keyword `operational` from clause | OSE-backend/src/constants/role-codes.constants.js:37-39 [operational] sha256=C121869F96BB7FE3… — Keyword `operational` from clause; ,,,,,Static code evidence only; runtime not executed for this requirement,,
C2-2.4.3-001,2,2.4.3,"Workflow reports represent workflow progress and operational monitoring (pending approvals, finance/GM queues, reviewer packs, SLA dashboards, draft monitoring).",Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C2-2.4.3-002,2,2.4.3,"Rule: Workflow reports may include Draft, Submitted, In Review, Returned, Rejected, Posted, and other lifecycle states according to business requirements.",Optional Capability,Runtime Behavior,Runtime,NOT APPLICABLE,Info,,,,,Register category_bucket=Optional Capability verified unchanged,,Optional capability — not mandatory for compliance,,
C2-2.4.4-001,2,2.4.4,Evidence Package is not a reporting category.,Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C2-2.4.4-002,2,2.4.4,"It comprises document-level proof artifacts (PDF, print output, evidence export, timeline, audit trail, supporting attachments) for one document.",Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C2-2.4.4-003,2,2.4.4,It is governed under Document Composition and Audit chapters.,Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C2-2.4.5-001,2,2.4.5,Inventory reservation is governed by business policy.,Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C2-2.4.5-002,2,2.4.5,The default DX OSE behavior is no reservation before Posting unless explicitly defined by a ratified business policy.,Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C2-2.5-001,2,2.5,"Editability shall be governed exclusively by document lifecycle state, not by individual screen implementations.",Product Enforceable Requirement,Multiple,Code / Runtime / UI,UNVERIFIED / BLOCKED,Medium,,OSE-backend/src/constants/governed-movement.constants.js:1-3 [governed] sha256=A5995B3AA9290D0F… — Keyword `governed` from clause | OSE-backend/src/constants/governed-movement.constants.js:14-16 [governed] sha256=A5995B3AA9290D0F… — Keyword `governed` from clause | OSE-backend/src/constants/governed-movement.constants.js:19-21 [governed] sha256=A5995B3AA9290D0F… — Keyword `governed` from clause; ,,,,,Static code evidence only; runtime not executed for this requirement,,
C2-2.6-001,2,2.6,Delete is permitted only while the document is in Draft.,Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C2-2.6-002,2,2.6,"Once a document leaves Draft, Delete must not be available.",Product Enforceable Requirement,Multiple,Code / Runtime / UI,UNVERIFIED / BLOCKED,Medium,,OSE-backend/src/platform/draftGovernance.service.js:106-106 [assertDraftEditable] sha256=13CD0E2AABF0DB80… — Required symbol `assertDraftEditable` present; ,,,,,Static code evidence only; runtime not executed for this requirement,,
C2-2.6-003,2,2.6,"Business termination shall use governed lifecycle actions (Cancel, Reject, Void, Close, etc.).",Product Enforceable Requirement,Multiple,Code / Runtime / UI,UNVERIFIED / BLOCKED,Medium,,OSE-backend/src/platform/errorRegistry.js:8-10 [business] sha256=02E54C4F77935206… — Keyword `business` from clause | OSE-backend/src/platform/postingPeriod.util.js:3-5 [business] sha256=5A7E84ABCD934510… — Keyword `business` from clause | OSE-backend/src/services/auth.service.js:11-13 [business] sha256=F38ED8A685ACB53B… — Keyword `business` from clause; ,,,,,Static code evidence only; runtime not executed for this requirement,,
C2-2.6-004,2,2.6,Deletion permanently removes a document before it becomes part of the business record.,Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C2-2.6-005,2,2.6,"Once a document enters the governed lifecycle, business termination actions shall replace deletion.",Product Enforceable Requirement,Multiple,Code / Runtime / UI,UNVERIFIED / BLOCKED,Medium,,OSE-backend/src/services/grn.service.js:124-126 [enters] sha256=2480405F4B0BAF57… — Keyword `enters` from clause | OSE-backend/src/services/pdf/report-pdf-audit-shell.js:2507-2509 [enters] sha256=6C3AE737A3359E06… — Keyword `enters` from clause | OSE-backend/src/services/pdf/report-pdf-audit-shell.js:2508-2510 [enters] sha256=6C3AE737A3359E06… — Keyword `enters` from clause; ,,,,,Static code evidence only; runtime not executed for this requirement,,
C2-2.7-001,2,2.7,After Return: Edit → Submit.,Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C2-2.7-002,2,2.7,There shall be no separate action named Re-submit.,Product Enforceable Requirement,Multiple,Code / Runtime / UI,UNVERIFIED / BLOCKED,Medium,,OSE-backend/src/routes/grn.routes.js:3-3 [router] sha256=AD14622E48009515… — Required symbol `router` present; OSE-backend/src/services/grn.service.js:610-610 [sendBackGrn] sha256=2480405F4B0BAF57… — Required symbol `sendBackGrn` present; ,,,,,Static code evidence only; runtime not executed for this requirement,,
C2-2.7-003,2,2.7,"Submit always represents entering the workflow, whether for the first time or after Return.",Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C2-2.7-004,2,2.7,"After Reject, the same document must not re-enter workflow.",Product Enforceable Requirement,Multiple,Code / Runtime / UI,UNVERIFIED / BLOCKED,Medium,,OSE-backend/src/controllers/breakage.controller.js:78-80 [after] sha256=033635D0463754CB… — Keyword `after` from clause | OSE-backend/src/controllers/breakage.controller.js:90-92 [after] sha256=033635D0463754CB… — Keyword `after` from clause | OSE-backend/src/controllers/integrity.controller.js:39-41 [after] sha256=385B89D935F00AAE… — Keyword `after` from clause; ,,,,,Static code evidence only; runtime not executed for this requirement,,
C2-2.7-005,2,2.7,A new document is required.,Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C2-2.8-001,2,2.8,"Every document detail view shall present a unified timeline showing, as applicable: current state, workflow step, actor, date and time, mandatory reasons, workflow comments, system events, and duration (when applicable).",Product Enforceable Requirement,Multiple,Code / Runtime / UI,UNVERIFIED / BLOCKED,Info,,OSE-backend/src/platform/documentTimeline.service.js:373-373 [getDocumentTimeline] sha256=71CBADDB46539F8B… — Required symbol `getDocumentTimeline` present; ,,,,grand-horizon (Hotel A) + dx-airport-hotel (Hotel B) where probed,Closeout: unsupported PASS removed — not in closeout-verified PASS allowlist,,
C2-2.9-001,2,2.9,Cancel Creator action Void (per Ch. 2.2),Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C2-2.9-002,2,2.9,Reject Reviewer workflow action Rejected,Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C2-2.9-003,2,2.9,Close Lifecycle completion action Closed,Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C2-2.10-001,2,2.10,"Workflow engine implementation, state machine design, database schema, API contracts, technical implementation details — Architecture & Implementation Guides.",Out of Scope,N/A,N/A,NOT APPLICABLE,Info,,,,,Register category_bucket=Out of Scope verified unchanged,,Constitution marks out of scope for product layer,,
C3-3.1-001,3,3.1,Users shall see only the actions they need for their role and document state.,Product Enforceable Requirement,Multiple,Code / Runtime / UI,UNVERIFIED / BLOCKED,Medium,,,,RS-WF-001=Failed (current session) — insufficient to prove defect,,grand-horizon (Hotel A) + dx-airport-hotel (Hotel B) where probed,HTTP 403 alone does not prove defect; response body not captured; effective assignment not proven; department scope not proven; workflow assignment/state not proven; rejection reason unknown,,
C3-3.1-002,3,3.1,Action behavior shall remain consistent across all DX OSE modules regardless of workflow implementation.,Product Enforceable Requirement,Multiple,Code / Runtime / UI,UNVERIFIED / BLOCKED,Medium,,OSE-backend/src/acc-authority/catalog.constitution.js:49-51 [action] sha256=88A18C81F472DDF3… — Keyword `action` from clause | OSE-backend/src/acc-authority/catalog.constitution.js:72-74 [action] sha256=88A18C81F472DDF3… — Keyword `action` from clause | OSE-backend/src/acc-authority/catalog.constitution.js:73-75 [action] sha256=88A18C81F472DDF3… — Keyword `action` from clause; ,,,,,Static code evidence only; runtime not executed for this requirement,,
C3-3.1-003,3,3.1,No module may invent alternative names for standard actions unless ratified in this Constitution.,Product Enforceable Requirement,Multiple,Code / Runtime / UI,UNVERIFIED / BLOCKED,Medium,,OSE-backend/src/acc-authority/base-role-permissions.js:13-15 [invent] sha256=6F8EB68A4ED527B7… — Keyword `invent` from clause | OSE-backend/src/acc-authority/base-role-permissions.js:19-21 [invent] sha256=6F8EB68A4ED527B7… — Keyword `invent` from clause | OSE-backend/src/acc-authority/base-role-permissions.js:23-25 [invent] sha256=6F8EB68A4ED527B7… — Keyword `invent` from clause; ,,,,,Static code evidence only; runtime not executed for this requirement,,
C3-3.2-001,3,3.2,"Save Draft, Submit, Cancel.",Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C3-3.2-002,3,3.2,"Cancel is an action, not a lifecycle state.",Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C3-3.2-003,3,3.2,"Alternative labels with the same meaning (Abort, Discard, Cancel Document) must not be used.",Product Enforceable Requirement,Multiple,Code / Runtime / UI,UNVERIFIED / BLOCKED,Medium,,OSE-backend/src/utils/validators.js:266-268 [alternative] sha256=5FBBA6DE83599FFB… — Keyword `alternative` from clause; ,,,,,Static code evidence only; runtime not executed for this requirement,,
C3-3.3-001,3,3.3,"Approve, Send Back, Reject.",Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C3-3.3-002,3,3.3,Reviewer actions shall be available only while the document is actively assigned to the current reviewer according to workflow definition and the permission model.,Product Enforceable Requirement,Multiple,Code / Runtime / UI,UNVERIFIED / BLOCKED,Medium,,,,RS-WF-001=Failed (current session) — insufficient to prove defect,,grand-horizon (Hotel A) + dx-airport-hotel (Hotel B) where probed,HTTP 403 alone does not prove defect; response body not captured; effective assignment not proven; department scope not proven; workflow assignment/state not proven; rejection reason unknown,,
C3-3.4-001,3,3.4,Ends document No Yes,Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C3-3.4-002,3,3.4,Allows edit Yes No,Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C3-3.4-003,3,3.4,Reason required Yes Yes,Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C3-3.4-004,3,3.4,Next step Edit → Submit New document if operation repeats,Governance Definition,Governance Documentation,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Governance Definition verified unchanged,,"Governance definition — terminology, not product behavior",,
C3-3.4-005,3,3.4,Business transaction Continues Terminates,Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
