scenario_id,requirement_ids,description,status,evidence
XT-A-READ-B-grn,,CROSS_TENANT_HARNESS,PASS,"{""id"": ""XT-A-READ-B-grn"", ""result"": ""PASS"", ""http"": 404, ""leak"": null}"
XT-A-WRONG-TENANT-grn,,CROSS_TENANT_HARNESS,PASS,"{""id"": ""XT-A-WRONG-TENANT-grn"", ""result"": ""PASS"", ""http"": 404}"
XT-B-READ-A-grn,,CROSS_TENANT_HARNESS,PASS,"{""id"": ""XT-B-READ-A-grn"", ""result"": ""PASS"", ""http"": 404, ""leak"": null}"
XT-A-LIST-transfers,,CROSS_TENANT_HARNESS,PASS,"{""id"": ""XT-A-LIST-transfers"", ""result"": ""PASS"", ""http"": 200}"
XT-A-READ-B-transfers,,CROSS_TENANT_HARNESS,PASS,"{""id"": ""XT-A-READ-B-transfers"", ""result"": ""PASS"", ""http"": 404, ""leak"": null}"
XT-A-WRONG-TENANT-transfers,,CROSS_TENANT_HARNESS,PASS,"{""id"": ""XT-A-WRONG-TENANT-transfers"", ""result"": ""PASS"", ""http"": 404}"
XT-B-READ-A-transfers,,CROSS_TENANT_HARNESS,PASS,"{""id"": ""XT-B-READ-A-transfers"", ""result"": ""PASS"", ""http"": 404, ""leak"": null}"
XT-A-LIST-inventoryCount,,CROSS_TENANT_HARNESS,PASS,"{""id"": ""XT-A-LIST-inventoryCount"", ""result"": ""PASS"", ""http"": 200}"
XT-A-READ-B-inventoryCount,,CROSS_TENANT_HARNESS,PASS,"{""id"": ""XT-A-READ-B-inventoryCount"", ""result"": ""PASS"", ""http"": 404, ""leak"": null}"
XT-A-WRONG-TENANT-inventoryCount,,CROSS_TENANT_HARNESS,PASS,"{""id"": ""XT-A-WRONG-TENANT-inventoryCount"", ""result"": ""PASS"", ""http"": 404}"
XT-B-READ-A-inventoryCount,,CROSS_TENANT_HARNESS,PASS,"{""id"": ""XT-B-READ-A-inventoryCount"", ""result"": ""PASS"", ""http"": 404, ""leak"": null}"
XT-A-LIST-audit,,CROSS_TENANT_HARNESS,PASS,"{""id"": ""XT-A-LIST-audit"", ""result"": ""PASS"", ""http"": 200}"
XT-A-LIST-reports,,CROSS_TENANT_HARNESS,NOT_APPLICABLE,"{""id"": ""XT-A-LIST-reports"", ""result"": ""NOT_APPLICABLE"", ""http"": 404}"
XT-A-LIST-dashboard,,CROSS_TENANT_HARNESS,PASS,"{""id"": ""XT-A-LIST-dashboard"", ""result"": ""PASS"", ""http"": 200}"
WF-BRK-CREATE,,WORKFLOW_RUNTIME_HARNESS,FAIL,"{""id"": ""WF-BRK-CREATE"", ""result"": ""FAIL"", ""http"": 403}"
WF-GP-CREATE,,WORKFLOW_RUNTIME_HARNESS,PASS,"{""id"": ""WF-GP-CREATE"", ""result"": ""PASS"", ""http"": 201}"
WF-GP-SUBMIT,,WORKFLOW_RUNTIME_HARNESS,PASS,"{""id"": ""WF-GP-SUBMIT"", ""result"": ""PASS"", ""http"": 200}"
