"fresh_id","pdf_page","pdf_page_start","pdf_page_end","part","chapter_num","chapter_title","section","source_span_id","exact_pdf_source_text","source_context_text","normalized_atomic_clause","strength_classification","category_bucket","atomicity_status","atomicity_justification","semantic_review_status","semantic_review_reason","semantic_reviewer","product_gap_applicability","implementation_target","applies_to","related_sections","verification_type","extraction_note"
"C1-1.2-007","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","SP-C1-1.2-0fbd4c59","● Workflow Contracts","","● Workflow Contracts","Governance Definition","Governance Definition","atomic","","Governance Approved","Ch1 governance definition.","DX OSE Governance Review (Gate A.3)","No","Governance Documentation","Platform","","Documentation",""
"C1-1.2-008","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","SP-C1-1.2-ed442336","● Access Control Catalog","","● Access Control Catalog","Governance Definition","Governance Definition","atomic","","Governance Approved","Ch1 governance definition.","DX OSE Governance Review (Gate A.3)","No","Governance Documentation","Platform","","Documentation",""
"C1-1.2-009","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","SP-C1-1.2-b406de22","● Architecture Guide","","● Architecture Guide","Governance Definition","Governance Definition","atomic","","Governance Approved","Ch1 governance definition.","DX OSE Governance Review (Gate A.3)","No","Governance Documentation","Platform","","Documentation",""
"C1-1.2-010","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","SP-C1-1.2-3e2d34b8","● Implementation Guide","","● Implementation Guide","Governance Definition","Governance Definition","atomic","","Governance Approved","Ch1 governance definition.","DX OSE Governance Review (Gate A.3)","No","Governance Documentation","Platform","","Documentation",""
"C1-1.3-001","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.3","SP-C1-1.3-d16cf045","Section 1.3 Four Tiers has been removed in its entirety per Master Review Log ratification.","","Section 1.3 Four Tiers has been removed in its entirety per Master Review Log ratification.","Descriptive","Descriptive Context","atomic","","Governance Approved","Ch1 descriptive context.","DX OSE Governance Review (Gate A.3)","No","Governance Documentation","Platform","","Documentation",""
"C1-1.3-002","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.3","SP-C1-1.3-0be40d9d","This section number is reserved and shall not be reassigned to other content without explicit governance decision.","","This section number is reserved and shall not be reassigned to other content without explicit governance decision.","Explicit Shall","Governance Document Requirement","atomic","","Governance Approved","Ch1 hierarchy/library rule — governance document requirement, not product code gap.","DX OSE Governance Review (Gate A.3)","No","Governance Documentation","Platform","","Governance documentation",""
"C1-1.4-001","11","11","12","Part 0 — Authority","1","Authority & Hierarchy","1.4","SP-C1-1.4-ec90b52b","This Constitution applies to all current and future operational modules of the DX OSE ERP Platform.","","This Constitution applies to all current and future operational modules of the DX OSE ERP Platform.","Governance Definition","Governance Definition","atomic","","Governance Approved","Ch1 governance definition.","DX OSE Governance Review (Gate A.3)","No","Governance Documentation","Platform","","Documentation",""
"C1-1.4-002","11","11","12","Part 0 — Authority","1","Authority & Hierarchy","1.4","SP-C1-1.4-25599857","Unless explicitly stated otherwise:","","Unless explicitly stated otherwise:","Governance Definition","Governance Definition","atomic","","Governance Approved","Ch1 governance definition.","DX OSE Governance Review (Gate A.3)","No","Governance Documentation","Platform","","Documentation",""
"C1-1.4-003","12","11","12","Part 0 — Authority","1","Authority & Hierarchy","1.4","SP-C1-1.4-e414eff2","Platform-wide chapters apply to all DX OSE modules and shared user experiences.","","Platform-wide chapters apply to all DX OSE modules and shared user experiences.","Governance Definition","Governance Definition","span_member","§1.4 applicability bullet.","Governance Approved","Ch1 governance definition.","DX OSE Governance Review (Gate A.3)","No","Governance Documentation","Platform","","Documentation",""
"C1-1.4-004","12","11","12","Part 0 — Authority","1","Authority & Hierarchy","1.4","SP-C1-1.4-2934b972","Document-specific chapters apply to operational documents and document entry workflows.","","Document-specific chapters apply to operational documents and document entry workflows.","Governance Definition","Governance Definition","span_member","§1.4 applicability bullet.","Governance Approved","Ch1 governance definition.","DX OSE Governance Review (Gate A.3)","No","Governance Documentation","Platform","","Documentation",""
"C1-1.4-005","12","11","12","Part 0 — Authority","1","Authority & Hierarchy","1.4","SP-C1-1.4-b74572fd","Out of scope for this Constitution:","","Out of scope for this Constitution:","Out of Scope","Out of Scope","atomic","","Governance Approved","Governance approved: Out of Scope.","DX OSE Governance Review (Gate A.3)","No","N/A","Platform","","N/A",""
"C1-1.4-006","12","11","12","Part 0 — Authority","1","Authority & Hierarchy","1.4","SP-C1-1.4-f0aa9d0d","Technology stack","","Technology stack","Out of Scope","Out of Scope","span_member","§1.4 out-of-scope bullet.","Governance Approved","Governance approved: Out of Scope.","DX OSE Governance Review (Gate A.3)","No","N/A","Platform","","N/A",""
"C1-1.4-007","12","11","12","Part 0 — Authority","1","Authority & Hierarchy","1.4","SP-C1-1.4-ddcae3c3","Internal implementation details","","Internal implementation details","Out of Scope","Out of Scope","span_member","§1.4 out-of-scope bullet.","Governance Approved","Governance approved: Out of Scope.","DX OSE Governance Review (Gate A.3)","No","N/A","Platform","","N/A",""
"C1-1.4-008","12","11","12","Part 0 — Authority","1","Authority & Hierarchy","1.4","SP-C1-1.4-ae0c793d","Database architecture","","Database architecture","Out of Scope","Out of Scope","span_member","§1.4 out-of-scope bullet.","Governance Approved","Governance approved: Out of Scope.","DX OSE Governance Review (Gate A.3)","No","N/A","Platform","","N/A",""
"C1-1.4-009","12","11","12","Part 0 — Authority","1","Authority & Hierarchy","1.4","SP-C1-1.4-f83cd9b7","Integration implementation details Implementation detail belongs in Architecture & Implementation Guides.","","Integration implementation details Implementation detail belongs in Architecture & Implementation Guides.","Governance Definition","Governance Definition","span_member","§1.4 out-of-scope bullet.","Governance Approved","Ch1 governance definition.","DX OSE Governance Review (Gate A.3)","No","Governance Documentation","Platform","","Documentation",""
"C1-1.5-001","12","12","12","Part 0 — Authority","1","Authority & Hierarchy","1.5","SP-C1-1.5-cadc5aa3","Normative keywords shall be interpreted exactly as defined in this chapter.","","Normative keywords shall be interpreted exactly as defined in this chapter.","Governance Definition","Governance Definition","atomic","","Governance Approved","Ch1 governance definition.","DX OSE Governance Review (Gate A.3)","No","Governance Documentation","Platform","","Documentation",""
"C1-1.5-002","12","12","12","Part 0 — Authority","1","Authority & Hierarchy","1.5","SP-C1-1.5-ab66f413","● Avoid using Must where Should is sufficient.","","● Avoid using Must where Should is sufficient.","Constitution Authoring Guidance","Constitution Authoring Guidance","atomic","","Governance Approved","Governance approved: Constitution Authoring Guidance.","DX OSE Governance Review (Gate A.3)","No","Governance Documentation","Platform","","Authoring guidance",""
"C1-1.5-003","12","12","12","Part 0 — Authority","1","Authority & Hierarchy","1.5","SP-C1-1.5-80d0c66d","● Use Must only when a true obligation exists.","","● Use Must only when a true obligation exists.","Constitution Authoring Guidance","Constitution Authoring Guidance","atomic","","Governance Approved","Governance approved: Constitution Authoring Guidance.","DX OSE Governance Review (Gate A.3)","No","Governance Documentation","Platform","","Authoring guidance",""
"C2-2.1-001","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.1","SP-C2-2.1-ce60f9e7","DX OSE shall provide one consistent document lifecycle experience across all operational modules.","","DX OSE shall provide one consistent document lifecycle experience across all operational modules.","Explicit Shall","Product Enforceable Requirement","atomic","","Governance Approved","Product enforceable requirement approved.","DX OSE Governance Review (Gate A.3)","Yes","Multiple","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.1-002","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.1","SP-C2-2.1-1dd3efed","Principle: The user experience is the contract.","","Principle: The user experience is the contract.","Descriptive","Descriptive Context","atomic","","Governance Approved","Descriptive context approved.","DX OSE Governance Review (Gate A.3)","No","N/A","Operational Documents / Shared UX","","Documentation",""
"C2-2.1-003","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.1","SP-C2-2.1-622f837d","The implementation is an internal concern.","","The implementation is an internal concern.","Descriptive","Descriptive Context","atomic","","Governance Approved","Descriptive context approved.","DX OSE Governance Review (Gate A.3)","No","N/A","Operational Documents / Shared UX","","Documentation",""
"C2-2.1-004","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.1","SP-C2-2.1-b08addbd","Modules may implement different internal workflows, provided that the user-facing lifecycle remains consistent across the platform.","","Modules may implement different internal workflows, provided that the user-facing lifecycle remains consistent across the platform.","Explicit May","Optional Capability","atomic","","Governance Approved","Optional capability approved.","DX OSE Governance Review (Gate A.3)","Yes","Runtime Behavior","Operational Documents / Shared UX","","Runtime",""
"C2-2.1-005","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.1","SP-C2-2.1-c985961b","Internal workflow implementation, workflow step names, and internal status codes must never be exposed to end users.","","Internal workflow implementation, workflow step names, and internal status codes must never be exposed to end users.","Explicit Must","Product Enforceable Requirement","atomic","","Governance Approved","Product enforceable requirement approved.","DX OSE Governance Review (Gate A.3)","Yes","Multiple","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.2-001","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","SP-C2-2.2-413ff8e7","Each user-facing lifecycle state shall represent one consistent business meaning across the entire DX OSE ERP Platform.","","Each user-facing lifecycle state shall represent one consistent business meaning across the entire DX OSE ERP Platform.","Explicit Shall","Product Enforceable Requirement","atomic","","Governance Approved","Product enforceable requirement approved.","DX OSE Governance Review (Gate A.3)","Yes","Multiple","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.2-002","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","SP-C2-2.2-caf0cd80","No module may redefine these meanings.","","No module may redefine these meanings.","Explicit Must Not","Product Enforceable Requirement","atomic","","Governance Approved","Product enforceable requirement approved.","DX OSE Governance Review (Gate A.3)","Yes","Multiple","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.2-003","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","SP-C2-2.2-be10c87a","No module may introduce additional user-facing lifecycle states unless they are first ratified in this Constitution.","","No module may introduce additional user-facing lifecycle states unless they are first ratified in this Constitution.","Explicit Must Not","Product Enforceable Requirement","atomic","","Governance Approved","Product enforceable requirement approved.","DX OSE Governance Review (Gate A.3)","Yes","Multiple","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.2-004","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","SP-C2-2.2-abf37e8c","Draft Editable; no official operational or financial effect","","Draft Editable; no official operational or financial effect","Governance Definition","Governance Definition","span_member","Lifecycle state table row.","Governance Approved","Governance definition approved.","DX OSE Governance Review (Gate A.3)","No","Governance Documentation","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-005","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","SP-C2-2.2-4e520c68","Submitted Sent into review","","Submitted Sent into review","Descriptive","Descriptive Context","span_member","Lifecycle state table row.","Governance Approved","Descriptive context approved.","DX OSE Governance Review (Gate A.3)","No","N/A","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-006","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","SP-C2-2.2-06a512a0","In Review In an approval chain","","In Review In an approval chain","Descriptive","Descriptive Context","span_member","Lifecycle state table row.","Governance Approved","Descriptive context approved.","DX OSE Governance Review (Gate A.3)","No","N/A","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-007","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","SP-C2-2.2-b564a2cd","Approved *Optional.* Used only when a document has a distinct business stage between final approval and posting","","Approved *Optional.* Used only when a document has a distinct business stage between final approval and posting","Descriptive","Descriptive Context","span_member","Lifecycle state table row.","Governance Approved","Descriptive context approved.","DX OSE Governance Review (Gate A.3)","No","N/A","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-008","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","SP-C2-2.2-d8865c33","Posted Official operational and financial effects applied","","Posted Official operational and financial effects applied","Governance Definition","Governance Definition","span_member","Lifecycle state table row.","Governance Approved","Governance definition approved.","DX OSE Governance Review (Gate A.3)","No","Governance Documentation","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-009","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","SP-C2-2.2-0d46d4c2","Rejected Terminated; no resubmission of the same document","","Rejected Terminated; no resubmission of the same document","Descriptive","Descriptive Context","span_member","Lifecycle state table row.","Governance Approved","Descriptive context approved.","DX OSE Governance Review (Gate A.3)","No","N/A","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-010","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","SP-C2-2.2-04038ee9","Returned Sent back to creator for correction (Send Back)","","Returned Sent back to creator for correction (Send Back)","Descriptive","Descriptive Context","span_member","Lifecycle state table row.","Governance Approved","Descriptive context approved.","DX OSE Governance Review (Gate A.3)","No","N/A","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-011","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","SP-C2-2.2-f52516e7","Void Formally cancelled before becoming part of the permanent business record","","Void Formally cancelled before becoming part of the permanent business record","Descriptive","Descriptive Context","span_member","Lifecycle state table row.","Governance Approved","Descriptive context approved.","DX OSE Governance Review (Gate A.3)","No","N/A","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-012","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","SP-C2-2.2-3759384d","Cancel is an action.","","Cancel is an action.","Descriptive","Descriptive Context","atomic","","Governance Approved","Descriptive context approved.","DX OSE Governance Review (Gate A.3)","No","N/A","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-013","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","SP-C2-2.2-b1da684c","Void is the lifecycle state resulting from cancellation before the document enters the governed permanent record.","","Void is the lifecycle state resulting from cancellation before the document enters the governed permanent record.","Descriptive","Descriptive Context","atomic","","Governance Approved","Descriptive context approved.","DX OSE Governance Review (Gate A.3)","No","N/A","Operational Documents / Shared UX","","Documentation",""
"C2-2.2-014","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","SP-C2-2.2-f96f0a98","A separate user-facing state named Cancelled shall not be introduced unless ratified in this Constitution (*see BDR-007*).","","A separate user-facing state named Cancelled shall not be introduced unless ratified in this Constitution (*see BDR-007*).","Explicitly Excluded Pending Ratification","Excluded Pending Ratification","atomic","","Governance Approved","Governance approved: Excluded Pending Ratification.","DX OSE Governance Review (Gate A.3)","No","Governance Documentation","Operational Documents / Shared UX","","Exclusion register",""
"C2-2.3-001","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.3","SP-C2-2.3-4fbbc26a","Each module shall provide a consistent mapping between internal workflow states and standardized user-facing lifecycle states.","","Each module shall provide a consistent mapping between internal workflow states and standardized user-facing lifecycle states.","Explicit Shall","Product Enforceable Requirement","atomic","","Governance Approved","Product enforceable requirement approved.","DX OSE Governance Review (Gate A.3)","Yes","Multiple","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.3-002","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.3","SP-C2-2.3-2548f08b","Internal workflow identifiers, status codes, enum names, workflow step names, and other implementation details must never be exposed to end users.","","Internal workflow identifiers, status codes, enum names, workflow step names, and other implementation details must never be exposed to end users.","Explicit Must","Product Enforceable Requirement","atomic","","Governance Approved","Product enforceable requirement approved.","DX OSE Governance Review (Gate A.3)","Yes","Multiple","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.3-003","13","13","13","Part I — Governance Constitution","2","Document Lifecycle","2.3","SP-C2-2.3-da830bab","Identical business outcomes shall always resolve to the same standardized user-facing lifecycle state across the DX OSE platform.","","Identical business outcomes shall always resolve to the same standardized user-facing lifecycle state across the DX OSE platform.","Explicit Shall","Product Enforceable Requirement","atomic","","Governance Approved","Product enforceable requirement approved.","DX OSE Governance Review (Gate A.3)","Yes","Multiple","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.4.1-001","14","14","14","Part I — Governance Constitution","2","Document Lifecycle","2.4.1","SP-C2-2.4.1-48a69c4d","Posting is the single business commit point for all operational and financial effects within the DX OSE ERP Platform.","","Posting is the single business commit point for all operational and financial effects within the DX OSE ERP Platform.","Descriptive","Descriptive Context","atomic","","Governance Approved","Descriptive context approved.","DX OSE Governance Review (Gate A.3)","No","N/A","Operational Documents / Shared UX","","Documentation",""
"C2-2.4.1-002","14","14","14","Part I — Governance Constitution","2","Document Lifecycle","2.4.1","SP-C2-2.4.1-8fbe9c59","No operational or financial effect shall be considered official before Posting unless this Constitution explicitly states otherwise.","","No operational or financial effect shall be considered official before Posting unless this Constitution explicitly states otherwise.","Explicit Shall","Product Enforceable Requirement","atomic","","Governance Approved","Product enforceable requirement approved.","DX OSE Governance Review (Gate A.3)","Yes","Multiple","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.4.2-001","14","14","14","Part I — Governance Constitution","2","Document Lifecycle","2.4.2","SP-C2-2.4.2-19872b08","Operational reports represent official business results, including stock balance, inventory ledger, inventory movement history, inventory valuation, and financial inventory reports.","","Operational reports represent official business results, including stock balance, inventory ledger, inventory movement history, inventory valuation, and financial inventory reports.","Descriptive","Descriptive Context","atomic","","Governance Approved","Descriptive context approved.","DX OSE Governance Review (Gate A.3)","No","N/A","Operational Documents / Shared UX","","Documentation",""
"C2-2.4.2-002","14","14","14","Part I — Governance Constitution","2","Document Lifecycle","2.4.2","SP-C2-2.4.2-20a3556a","Rule: Operational reports shall derive operational and financial results exclusively from Posted documents.","","Rule: Operational reports shall derive operational and financial results exclusively from Posted documents.","Explicit Shall","Product Enforceable Requirement","atomic","","Governance Approved","Product enforceable requirement approved.","DX OSE Governance Review (Gate A.3)","Yes","Multiple","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.4.3-001","14","14","14","Part I — Governance Constitution","2","Document Lifecycle","2.4.3","SP-C2-2.4.3-a8761325","Workflow reports represent workflow progress and operational monitoring (pending approvals, finance/GM queues, reviewer packs, SLA dashboards, draft monitoring).","","Workflow reports represent workflow progress and operational monitoring (pending approvals, finance/GM queues, reviewer packs, SLA dashboards, draft monitoring).","Descriptive","Descriptive Context","atomic","","Governance Approved","Descriptive context approved.","DX OSE Governance Review (Gate A.3)","No","N/A","Operational Documents / Shared UX","","Documentation",""
"C2-2.4.3-002","14","14","14","Part I — Governance Constitution","2","Document Lifecycle","2.4.3","SP-C2-2.4.3-5c4895f0","Rule: Workflow reports may include Draft, Submitted, In Review, Returned, Rejected, Posted, and other lifecycle states according to business requirements.","","Rule: Workflow reports may include Draft, Submitted, In Review, Returned, Rejected, Posted, and other lifecycle states according to business requirements.","Explicit May","Optional Capability","atomic","","Governance Approved","Optional capability approved.","DX OSE Governance Review (Gate A.3)","Yes","Runtime Behavior","Operational Documents / Shared UX","","Runtime",""
"C2-2.4.4-001","14","14","14","Part I — Governance Constitution","2","Document Lifecycle","2.4.4","SP-C2-2.4.4-ace412d8","Evidence Package is not a reporting category.","","Evidence Package is not a reporting category.","Descriptive","Descriptive Context","atomic","","Governance Approved","Descriptive context approved.","DX OSE Governance Review (Gate A.3)","No","N/A","Operational Documents / Shared UX","","Documentation",""
"C2-2.4.4-002","14","14","14","Part I — Governance Constitution","2","Document Lifecycle","2.4.4","SP-C2-2.4.4-c139e5f4","It comprises document-level proof artifacts (PDF, print output, evidence export, timeline, audit trail, supporting attachments) for one document.","","It comprises document-level proof artifacts (PDF, print output, evidence export, timeline, audit trail, supporting attachments) for one document.","Descriptive","Descriptive Context","atomic","","Governance Approved","Descriptive context approved.","DX OSE Governance Review (Gate A.3)","No","N/A","Operational Documents / Shared UX","","Documentation",""
"C2-2.4.4-003","14","14","14","Part I — Governance Constitution","2","Document Lifecycle","2.4.4","SP-C2-2.4.4-451cfde0","It is governed under Document Composition and Audit chapters.","","It is governed under Document Composition and Audit chapters.","Descriptive","Descriptive Context","atomic","","Governance Approved","Descriptive context approved.","DX OSE Governance Review (Gate A.3)","No","N/A","Operational Documents / Shared UX","","Documentation",""
"C2-2.4.5-001","14","14","14","Part I — Governance Constitution","2","Document Lifecycle","2.4.5","SP-C2-2.4.5-9618aff0","Inventory reservation is governed by business policy.","","Inventory reservation is governed by business policy.","Descriptive","Descriptive Context","atomic","","Governance Approved","Descriptive context approved.","DX OSE Governance Review (Gate A.3)","No","N/A","Operational Documents / Shared UX","","Documentation",""
"C2-2.4.5-002","14","14","14","Part I — Governance Constitution","2","Document Lifecycle","2.4.5","SP-C2-2.4.5-593060f9","The default DX OSE behavior is no reservation before Posting unless explicitly defined by a ratified business policy.","","The default DX OSE behavior is no reservation before Posting unless explicitly defined by a ratified business policy.","Descriptive","Descriptive Context","atomic","","Governance Approved","Descriptive context approved.","DX OSE Governance Review (Gate A.3)","No","N/A","Operational Documents / Shared UX","","Documentation",""
"C2-2.5-001","14","14","14","Part I — Governance Constitution","2","Document Lifecycle","2.5","SP-C2-2.5-fc1803d2","Editability shall be governed exclusively by document lifecycle state, not by individual screen implementations.","","Editability shall be governed exclusively by document lifecycle state, not by individual screen implementations.","Explicit Shall","Product Enforceable Requirement","atomic","","Governance Approved","Product enforceable requirement approved.","DX OSE Governance Review (Gate A.3)","Yes","Multiple","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.6-001","14","14","15","Part I — Governance Constitution","2","Document Lifecycle","2.6","SP-C2-2.6-f1784ac4","Delete is permitted only while the document is in Draft.","","Delete is permitted only while the document is in Draft.","Descriptive","Descriptive Context","atomic","","Governance Approved","Descriptive context approved.","DX OSE Governance Review (Gate A.3)","No","N/A","Operational Documents / Shared UX","","Documentation",""
"C2-2.6-002","14","14","15","Part I — Governance Constitution","2","Document Lifecycle","2.6","SP-C2-2.6-16a11625","Once a document leaves Draft, Delete must not be available.","","Once a document leaves Draft, Delete must not be available.","Explicit Must Not","Product Enforceable Requirement","atomic","","Governance Approved","Product enforceable requirement approved.","DX OSE Governance Review (Gate A.3)","Yes","Multiple","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.6-003","14","14","15","Part I — Governance Constitution","2","Document Lifecycle","2.6","SP-C2-2.6-f01ad557","Business termination shall use governed lifecycle actions (Cancel, Reject, Void, Close, etc.).","","Business termination shall use governed lifecycle actions (Cancel, Reject, Void, Close, etc.).","Explicit Shall","Product Enforceable Requirement","atomic","","Governance Approved","Product enforceable requirement approved.","DX OSE Governance Review (Gate A.3)","Yes","Multiple","Operational Documents / Shared UX","","Code / Runtime / UI",""
"C2-2.6-004","15","14","15","Part I — Governance Constitution","2","Document Lifecycle","2.6","SP-C2-2.6-d9c911a1","Deletion permanently removes a document before it becomes part of the business record.","","Deletion permanently removes a document before it becomes part of the business record.","Descriptive","Descriptive Context","atomic","","Governance Approved","Descriptive context approved.","DX OSE Governance Review (Gate A.3)","No","N/A","Operational Documents / Shared UX","","Documentation",""
