"fresh_id","previous_category","approved_category","reason","applicable_layer","reviewer","review_timestamp","decision_source"
"C2-2.6-002","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.6-003","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.6-004","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.6-005","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.7-001","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.7-002","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.7-003","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.7-004","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.7-005","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.8-001","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.9-001","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.9-002","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.9-003","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.10-001","Out of Scope","Out of Scope","Governance approved: Out of Scope.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C3-3.1-001","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C3-3.1-002","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C3-3.1-003","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C3-3.2-001","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C3-3.2-002","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C3-3.2-003","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C3-3.3-001","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C3-3.3-002","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C3-3.4-001","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C3-3.4-002","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C3-3.4-003","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C3-3.4-004","Governance Definition","Governance Definition","Governance definition approved.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C3-3.4-005","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C3-3.5-001","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C3-3.6-001","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C3-3.7-001","Governance Definition","Governance Definition","Block 1 — §3.7 governance definition row.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C3-3.7-002","Descriptive Context","Governance Definition","Block 1 — §3.7 governance definition row.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C3-3.8-001","Out of Scope","Out of Scope","Governance approved: Out of Scope.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C4-4.1-001","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C4-4.1-002","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C4-4.2-001","Governance Definition","Governance Definition","Governance definition approved.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C4-4.2-002","Governance Definition","Governance Definition","Governance definition approved.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C4-4.2-003","Governance Definition","Governance Definition","Governance definition approved.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C4-4.2-004","Governance Definition","Governance Definition","Governance definition approved.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C4-4.2-005","Governance Definition","Governance Definition","Governance definition approved.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C4-4.2-006","Governance Definition","Governance Definition","Governance definition approved.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C4-4.2-007","Governance Definition","Governance Definition","Governance definition approved.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C4-4.2-008","Governance Definition","Governance Definition","Governance definition approved.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C4-4.2-009","Governance Definition","Governance Definition","Governance definition approved.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C4-4.2-010","Governance Definition","Governance Definition","Governance definition approved.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C4-4.2-011","Governance Definition","Governance Definition","Governance definition approved.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C4-4.2-012","Governance Definition","Governance Definition","Governance definition approved.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C4-4.2-013","Governance Definition","Governance Definition","Governance definition approved.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C4-4.2-014","Governance Definition","Governance Definition","Governance definition approved.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C4-4.2-015","Governance Definition","Governance Definition","Governance definition approved.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C4-4.2-016","Governance Definition","Governance Definition","Governance definition approved.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C4-4.2-017","Governance Definition","Governance Definition","Governance definition approved.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C4-4.2-018","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C4-4.3-001","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C4-4.3-002","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C4-4.3-003","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C4-4.3-004","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C4-4.4-001","Out of Scope","Out of Scope","Governance approved: Out of Scope.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C5-5.1-001","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C5-5.1-002","Descriptive Context","Product Enforceable Requirement","Posting authority rule.","Runtime Behavior","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C5-5.1-003","Descriptive Context","Product Enforceable Requirement","Business immutability after Posting.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C5-5.2-001","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C5-5.2-002","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C5-5.2-003","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C5-5.2-004","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C5-5.2-005","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C5-5.2-006","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C5-5.2-007","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C5-5.2-008","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C5-5.2-009","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C5-5.2-010","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C5-5.2-011","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C5-5.2-012","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C5-5.2-013","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C5-5.3-001","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C5-5.3-002","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C5-5.3-003","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C5-5.4-001","Out of Scope","Out of Scope","Governance approved: Out of Scope.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C6-6.1-001","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C6-6.1-002","Optional Capability","Descriptive Context","Period Management definitional context.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C6-6.2-001","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
