Module,Screen,Route,Action,Nav_Permission,Route_Guard_TARGET,API_Method,API_Permission_or_Roles_TARGET,Data_Scope,FINANCE,ORG_MANAGER,ADMIN_Legacy,Gap_CURRENT
Get Pass,List,/get-passes,View,GET_PASS_VIEW,GET_PASS_VIEW,GET /get-passes,GET_PASS_VIEW,Tenant-wide,Y,A,L,Nav has no permission today
Get Pass,Form,/get-passes/new,Create,GET_PASS_VIEW,GET_PASS_CREATE,POST /get-passes,GET_PASS_CREATE,Tenant-wide,Y,A,L,
Get Pass,Detail,/get-passes/:id,Return Close Exit,GET_PASS_VIEW,GET_PASS_*,POST return close,GET_PASS_APPROVE_* TARGET,Tenant-wide,Y,A,L,hasRole ADMIN in UI
Reports,Workspace,/reports/*,View Export,REPORTS_VIEW,REPORTS_VIEW,GET POST reports,REPORTS_VIEW EXPORT,Tenant-wide,Y,A,L,Weak route guard on parent
Ledger,Viewer,/ledger,View,INVENTORY_VIEW section,INVENTORY_VIEW,GET /ledger,INVENTORY_VIEW TARGET,Tenant-wide,Y,A,L,API auth only today
Dashboard,Home,/dashboard,View,VIEW_DASHBOARD,VIEW_DASHBOARD,GET /dashboard/*,DASHBOARD_VIEW,Role analytics,Y,A,L,
Workflow Pipeline,/workflow-pipeline,View,any pipeline perm,permissionsAny,GET /workflow-pipeline,PIPELINE_ACCESS any,Tenant-wide,Y,A,L,
Users Admin,/users,List Create Edit,USERS_COMPANY_MANAGE,USERS_COMPANY_MANAGE,CRUD /users,USERS_COMPANY_MANAGE,Tenant hotel users,Y,A,L,FINANCE N in matrix CURRENT
Settings,/settings,Hotel settings subset,N/A,SETTINGS or USERS,GET PUT /settings,SETTINGS_MANAGE org only,Org vs tenant,N,A,L,FINANCE no OB P2
Period Close,/period-close,Close Reopen,N/A,auth only,POST /period-close,FINANCE_MANAGER ORG reopen rules,Tenant-wide,Y,A,L,Reopen ADMIN only CURRENT
Integrity,/integrity,View,N/A,auth only,GET /integrity,ADMIN FINANCE AUDITOR COST,Tenant-wide,Y,A,L,No nav permission
Master Data,/master-data/*,CRUD,INVENTORY_VIEW section,BASIC_DATA_EDIT,CRUD master,BASIC_DATA_EDIT,Tenant-wide,Y,A,L,
Items,/items/*,CRUD,INVENTORY_VIEW section,BASIC_DATA_EDIT,CRUD items,MANAGE_MASTER_DATA,Tenant-wide,Y,A,L,
Movements,/movements,Create Post,INVENTORY_VIEW,MOVEMENT_CREATE,POST movements,FINANCE STOREKEEPER,Tenant-wide,Y,A,L,FINANCE not in authorize CURRENT
Stock Balances,/stock,View,INVENTORY_VIEW,INVENTORY_VIEW,GET /stock,INVENTORY_VIEW,Tenant-wide,Y,A,L,
Par Levels,/par-levels,Edit,INVENTORY_VIEW,MOVEMENT_CREATE or role,PUT /par-levels,FINANCE STOREKEEPER,Tenant-wide,Y,A,L,ADMIN only CURRENT
RBAC Diagnostics,Any list,Explain empty scope,TENANT_OPS_DIAGNOSE,TENANT_OPS_DIAGNOSE,GET with debug header,TENANT_OPS_DIAGNOSE,Tenant meta,Y,A,L,Not built yet
