fresh_id,status,method,reason,probes
C4-4.2-018,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C4-4.3-001,UNVERIFIED / BLOCKED,evidence_based_probes,,acc-guard|authorize
C4-4.3-002,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-permissions
C4-4.3-003,FAIL,evidence_based_probes,,acc-guard|authorize
C4-4.3-004,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-modules
C4-4.4-001,NOT APPLICABLE,category_verification,Constitution marks out of scope for product layer,
C5-5.1-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C5-5.1-002,PASS,evidence_based_probes,,keyword-posting
C5-5.1-003,FAIL,evidence_based_probes,,posting-service|db-posted-trigger
C5-5.2-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-before
C5-5.2-002,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-before
C5-5.2-003,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-before
C5-5.2-004,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-before
C5-5.2-005,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-before
C5-5.2-006,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-final
C5-5.2-007,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-transaction
C5-5.2-008,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-atomicity
C5-5.2-009,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-posting
C5-5.2-010,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-posting
C5-5.2-011,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-final
C5-5.2-012,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-additional
C5-5.2-013,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-posting
C5-5.3-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C5-5.3-002,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C5-5.3-003,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C5-5.4-001,NOT APPLICABLE,category_verification,Constitution marks out of scope for product layer,
C6-6.1-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C6-6.1-002,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C6-6.2-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C6-6.2-002,NOT APPLICABLE,category_verification,Optional capability — not mandatory for compliance,
C6-6.3-001,UNVERIFIED / BLOCKED,evidence_based_probes,,period-guard
C6-6.3-002,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C6-6.3-003,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C6-6.3-004,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C6-6.3-005,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-posting
C6-6.4-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C6-6.4-002,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C6-6.5-001,PASS,evidence_based_probes,,period-guard
C6-6.5-002,PASS,evidence_based_probes,,keyword-future
C6-6.5-003,NOT APPLICABLE,category_verification,Optional capability — not mandatory for compliance,
C6-6.5-004,UNVERIFIED / BLOCKED,evidence_based_probes,,period-guard
C6-6.5-005,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C6-6.5-006,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-periods
C6-6.5-007,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C6-6.5-008,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-modules
C6-6.5-009,PARTIAL,evidence_based_probes,,posting-service|db-posted-trigger|period-guard
C6-6.6-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C6-6.6-002,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C6-6.6-003,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C6-6.6-004,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C6-6.6-005,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C6-6.6-006,UNVERIFIED / BLOCKED,evidence_based_probes,,period-guard
C6-6.6-007,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C6-6.7-001,PASS,evidence_based_probes,,keyword-prevent
C6-6.8-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C6-6.9-001,NOT APPLICABLE,category_verification,Constitution marks out of scope for product layer,
C7-7.1-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-these
C7-7.2-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-every
C7-7.3-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C7-7.4-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-define
C7-7.4-002,PASS,evidence_based_probes,,keyword-access
C7-7.4-003,PASS,evidence_based_probes,,keyword-ownership
C7-7.4-004,PASS,evidence_based_probes,,keyword-handling
C7-7.5-001,UNVERIFIED / BLOCKED,evidence_based_probes,,concurrency-svc
C7-7.6-001,NOT APPLICABLE,category_verification,Optional capability — not mandatory for compliance,
C7-7.6-002,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C7-7.7-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-occur
C7-7.7-002,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C7-7.8-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-recovered
C7-7.8-002,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-restored
C7-7.8-003,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-recovery
C7-7.8-004,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-saved
C7-7.9-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-draft
C7-7.9-002,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-default
C7-7.9-003,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-expiration
C7-7.10-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C7-7.10-002,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C7-7.11-001,UNVERIFIED / BLOCKED,evidence_based_probes,,doc-numbering
C7-7.12-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C7-7.13-001,NOT APPLICABLE,category_verification,Constitution marks out of scope for product layer,
C8-8.1-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C8-8.2-001,PASS,evidence_based_probes,,concurrency-svc
C8-8.2-002,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C8-8.3-001,UNVERIFIED / BLOCKED,evidence_based_probes,,concurrency-svc
C8-8.5-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-except
C8-8.6-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-draft
C8-8.7-001,UNVERIFIED / BLOCKED,evidence_based_probes,,concurrency-svc
C8-8.8-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-reject
C8-8.8-002,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-overwrite
C8-8.8-003,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-require
C8-8.8-004,UNVERIFIED / BLOCKED,evidence_based_probes,,concurrency-svc
C8-8.9-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C8-8.9-002,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C8-8.10-001,UNVERIFIED / BLOCKED,evidence_based_probes,,concurrency-svc
C8-8.11-001,NOT APPLICABLE,category_verification,Constitution marks out of scope for product layer,
C9-9.1-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C9-9.2-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C9-9.2-002,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-users
C9-9.2-003,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C9-9.2-004,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C9-9.2-005,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C9-9.3-001,PASS,evidence_based_probes,,keyword-uniqueness
C9-9.3-002,PASS,evidence_based_probes,,doc-numbering
C9-9.3-003,PASS,evidence_based_probes,,draft-governance
C9-9.3-004,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C9-9.3-005,PASS,evidence_based_probes,,keyword-unified
C9-9.3-006,PASS,evidence_based_probes,,keyword-prefix
C9-9.3-007,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C9-9.3-008,PASS,evidence_based_probes,,keyword-immutability
C9-9.3-009,PASS,evidence_based_probes,,keyword-audit
C9-9.3-010,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-manual
C9-9.3-011,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C9-9.4-001,NOT APPLICABLE,category_verification,Constitution marks out of scope for product layer,
C10-10.2-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-stock
C10-10.2-002,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-negative
C10-10.2-003,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-quantity
C10-10.2-004,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-quantity
C10-10.2-005,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-quantity
C10-10.2-006,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-validation
C10-10.2-007,UNVERIFIED / BLOCKED,evidence_based_probes,,stock-validation
C10-10.2-008,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-calculations
C10-10.2-009,NOT APPLICABLE,category_verification,Constitution marks out of scope for product layer,
C10-10.2-010,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-transaction
C10-10.2-011,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-inventory
C10-10.2-012,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-posted
C10-10.2-013,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-corrections
C10-10.2-014,UNVERIFIED / BLOCKED,evidence_based_probes,,stock-validation
C10-10.2-015,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-outbound
C10-10.3-001,NOT APPLICABLE,category_verification,Constitution marks out of scope for product layer,
C10-10.3-002,NOT APPLICABLE,category_verification,Constitution marks out of scope for product layer,
C11-11.1-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C11-11.2-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C11-11.3-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C11-11.3-002,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-convert
C11-11.4-001,UNVERIFIED / BLOCKED,evidence_based_probes,,grn-print-guard|breakage-print-unconditional
C11-11.4-002,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-reports
C11-11.5-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C11-11.6-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-changing
C11-11.7-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C11-11.8-001,NOT APPLICABLE,category_verification,Constitution marks out of scope for product layer,
C12-12.1-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C12-12.2-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C12-12.2-002,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C12-12.2-003,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-positions
C12-12.3-001,UNVERIFIED / BLOCKED,evidence_based_probes,,doc-numbering
C12-12.3-002,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C12-12.3-003,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C12-12.4-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-header
C12-12.5-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-changes
C12-12.6-001,UNVERIFIED / BLOCKED,evidence_based_probes,,lifecycle-presentation|lifecycle-mapper-fe
C12-12.7-001,NOT APPLICABLE,category_verification,Optional capability — not mandatory for compliance,
C13-13.1-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C13-13.2-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-maintain
C13-13.2-002,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C13-13.3-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C13-13.4-001,PASS,evidence_based_probes,,keyword-posted
C13-13.4-002,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C13-13.5-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-values
C13-13.6-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-lines
C13-13.7-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C13-13.7-002,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C13-13.8-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-duplicate
C13-13.9-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-level
C13-13.10-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-large
C14-14.1-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C14-14.2-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C14-14.3-001,UNVERIFIED / BLOCKED,evidence_based_probes,,draft-governance
C14-14.3-002,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-required
C14-14.4-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-enforce
C14-14.5-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-uploaded
C14-14.6-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C14-14.7-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C14-14.8-001,NOT APPLICABLE,category_verification,Optional capability — not mandatory for compliance,
C14-14.8-002,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-defines
C14-14.9-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C14-14.10-001,NOT APPLICABLE,category_verification,Constitution marks out of scope for product layer,
C15-15.1-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C15-15.2-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-reject
C15-15.3-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-workflow
C15-15.3-002,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C15-15.4-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C15-15.4-002,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-users
C15-15.5-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C15-15.6-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C15-15.6-002,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C15-15.6-003,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C16-16.1-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C16-16.2-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C16-16.2-002,PASS,evidence_based_probes,,keyword-created
C16-16.3-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C16-16.3-002,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C16-16.3-003,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C16-16.3-004,NOT APPLICABLE,category_verification,Optional capability — not mandatory for compliance,
C16-16.3-005,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C16-16.3-006,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C16-16.3-007,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C16-16.3-008,PASS,evidence_based_probes,,keyword-maximum
C16-16.3-009,PASS,evidence_based_probes,,keyword-supported
C16-16.3-010,PASS,evidence_based_probes,,grn-print-guard|breakage-print-unconditional
C17-17.1-001,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C17-17.2-001,PARTIAL,evidence_based_probes,,keyboard-directive-exists|keyboard-template-adoption
C17-17.2-002,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C17-17.2-003,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C17-17.2-004,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C17-17.2-005,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C17-17.2-006,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C17-17.2-007,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C17-17.3-001,PARTIAL,evidence_based_probes,,keyboard-directive-exists|keyboard-template-adoption
C17-17.3-002,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C17-17.3-003,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C17-17.3-004,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C17-17.3-005,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-global
C17-17.4-001,NOT APPLICABLE,category_verification,Constitution marks out of scope for product layer,
C18-18.1-001,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C18-18.1-002,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C18-18.1-003,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C18-18.1-004,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
C18-18.1-005,UNVERIFIED / BLOCKED,evidence_based_probes,,ux-manual-review-required
