"fresh_id","chapter","section","requirement_text","category","implementation_target","verification_type","status","severity","frontend_evidence","backend_evidence","database_evidence","runtime_evidence","governance_evidence","tenant_scope_tested","limitations","finding_id","recommended_next_action"
"C1-1.2-007","1","1.2","● Workflow Contracts","Governance Definition","Governance Documentation","Documentation","NOT APPLICABLE","Info","","","","","Governance definition — canonical meaning captured in Gate A; not a product gap.","None — static audit pass","Definition row — verify consuming requirements separately.","","None"
"C1-1.2-008","1","1.2","● Access Control Catalog","Governance Definition","Governance Documentation","Documentation","NOT APPLICABLE","Info","","","","","Governance definition — canonical meaning captured in Gate A; not a product gap.","None — static audit pass","Definition row — verify consuming requirements separately.","","None"
"C1-1.2-009","1","1.2","● Architecture Guide","Governance Definition","Governance Documentation","Documentation","NOT APPLICABLE","Info","","","","","Governance definition — canonical meaning captured in Gate A; not a product gap.","None — static audit pass","Definition row — verify consuming requirements separately.","","None"
"C1-1.2-010","1","1.2","● Implementation Guide","Governance Definition","Governance Documentation","Documentation","NOT APPLICABLE","Info","","","","","Governance definition — canonical meaning captured in Gate A; not a product gap.","None — static audit pass","Definition row — verify consuming requirements separately.","","None"
"C1-1.3-001","1","1.3","Section 1.3 Four Tiers has been removed in its entirety per Master Review Log ratification.","Descriptive Context","Governance Documentation","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C1-1.3-002","1","1.3","This section number is reserved and shall not be reassigned to other content without explicit governance decision.","Governance Document Requirement","Governance Documentation","Governance documentation","PASS","Info","","N/A — Ch1 governs constitution document hierarchy, not product runtime.","","","docs/governance/DX_OSE_CONSTITUTION_v2.0_FINAL.pdf (external); Gate A register Ch1 rows. docs/governance/ library present.","None — static audit pass","Governance document existence verified; subordinate doc conformance not re-certified here.","","None"
"C1-1.4-001","1","1.4","This Constitution applies to all current and future operational modules of the DX OSE ERP Platform.","Governance Definition","Governance Documentation","Documentation","NOT APPLICABLE","Info","","","","","Governance definition — canonical meaning captured in Gate A; not a product gap.","None — static audit pass","Definition row — verify consuming requirements separately.","","None"
"C1-1.4-002","1","1.4","Unless explicitly stated otherwise:","Governance Definition","Governance Documentation","Documentation","NOT APPLICABLE","Info","","","","","Governance definition — canonical meaning captured in Gate A; not a product gap.","None — static audit pass","Definition row — verify consuming requirements separately.","","None"
"C1-1.4-003","1","1.4","Platform-wide chapters apply to all DX OSE modules and shared user experiences.","Governance Definition","Governance Documentation","Documentation","NOT APPLICABLE","Info","","","","","Governance definition — canonical meaning captured in Gate A; not a product gap.","None — static audit pass","Definition row — verify consuming requirements separately.","","None"
"C1-1.4-004","1","1.4","Document-specific chapters apply to operational documents and document entry workflows.","Governance Definition","Governance Documentation","Documentation","NOT APPLICABLE","Info","","","","","Governance definition — canonical meaning captured in Gate A; not a product gap.","None — static audit pass","Definition row — verify consuming requirements separately.","","None"
"C1-1.4-005","1","1.4","Out of scope for this Constitution:","Out of Scope","N/A","N/A","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Out of Scope' — no product/runtime enforcement test required.","","None"
"C1-1.4-006","1","1.4","Technology stack","Out of Scope","N/A","N/A","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Out of Scope' — no product/runtime enforcement test required.","","None"
"C1-1.4-007","1","1.4","Internal implementation details","Out of Scope","N/A","N/A","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Out of Scope' — no product/runtime enforcement test required.","","None"
"C1-1.4-008","1","1.4","Database architecture","Out of Scope","N/A","N/A","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Out of Scope' — no product/runtime enforcement test required.","","None"
"C1-1.4-009","1","1.4","Integration implementation details Implementation detail belongs in Architecture & Implementation Guides.","Governance Definition","Governance Documentation","Documentation","NOT APPLICABLE","Info","","","","","Governance definition — canonical meaning captured in Gate A; not a product gap.","None — static audit pass","Definition row — verify consuming requirements separately.","","None"
"C1-1.5-001","1","1.5","Normative keywords shall be interpreted exactly as defined in this chapter.","Governance Definition","Governance Documentation","Documentation","NOT APPLICABLE","Info","","","","","Governance definition — canonical meaning captured in Gate A; not a product gap.","None — static audit pass","Definition row — verify consuming requirements separately.","","None"
"C1-1.5-002","1","1.5","● Avoid using Must where Should is sufficient.","Constitution Authoring Guidance","Governance Documentation","Authoring guidance","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Constitution Authoring Guidance' — no product/runtime enforcement test required.","","None"
"C1-1.5-003","1","1.5","● Use Must only when a true obligation exists.","Constitution Authoring Guidance","Governance Documentation","Authoring guidance","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Constitution Authoring Guidance' — no product/runtime enforcement test required.","","None"
"C2-2.1-001","2","2.1","DX OSE shall provide one consistent document lifecycle experience across all operational modules.","Product Enforceable Requirement","Multiple","Code / Runtime / UI","PASS","Info","OSE-Frontend/src/app/core/utils/constitution-lifecycle.util.ts; transfer/movement/get-pass mappers","OSE-backend/src/platform/lifecyclePresentation.service.js; module services (grn/breakage/transfer/getPass/inventoryCount)","","Static code review B1; targeted runtime blocked unless noted in runtime scenarios.","","None — static audit pass","Lost-items list/detail still uses raw LOST_ITEMS.STATUS keys (partial label mapping).","","None"
"C2-2.1-002","2","2.1","Principle: The user experience is the contract.","Descriptive Context","N/A","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C2-2.1-003","2","2.1","The implementation is an internal concern.","Descriptive Context","N/A","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C2-2.1-004","2","2.1","Modules may implement different internal workflows, provided that the user-facing lifecycle remains consistent across the platform.","Optional Capability","Runtime Behavior","Runtime","NOT APPLICABLE","Info","OSE-Frontend/src/app/core/utils/constitution-lifecycle.util.ts; transfer/movement/get-pass mappers","OSE-backend/src/platform/lifecyclePresentation.service.js; module services (grn/breakage/transfer/getPass/inventoryCount)","","","","None — static audit pass","Optional capability — not mandatory for v2.0 compliance.","","None"
"C2-2.1-005","2","2.1","Internal workflow implementation, workflow step names, and internal status codes must never be exposed to end users.","Product Enforceable Requirement","Multiple","Code / Runtime / UI","PASS","Info","OSE-Frontend/src/app/core/utils/constitution-lifecycle.util.ts; transfer/movement/get-pass mappers","OSE-backend/src/platform/lifecyclePresentation.service.js; module services (grn/breakage/transfer/getPass/inventoryCount)","","Static code review B1; targeted runtime blocked unless noted in runtime scenarios.","","None — static audit pass","Lost-items list/detail still uses raw LOST_ITEMS.STATUS keys (partial label mapping).","","None"
"C2-2.2-001","2","2.2","Each user-facing lifecycle state shall represent one consistent business meaning across the entire DX OSE ERP Platform.","Product Enforceable Requirement","Multiple","Code / Runtime / UI","PASS","Info","OSE-Frontend/src/app/core/utils/constitution-lifecycle.util.ts; transfer/movement/get-pass mappers","OSE-backend/src/platform/lifecyclePresentation.service.js; module services (grn/breakage/transfer/getPass/inventoryCount)","","Static code review B1; targeted runtime blocked unless noted in runtime scenarios.","","None — static audit pass","Lost-items list/detail still uses raw LOST_ITEMS.STATUS keys (partial label mapping).","","None"
"C2-2.2-002","2","2.2","No module may redefine these meanings.","Product Enforceable Requirement","Multiple","Code / Runtime / UI","PASS","Info","OSE-Frontend/src/app/core/utils/constitution-lifecycle.util.ts; transfer/movement/get-pass mappers","OSE-backend/src/platform/lifecyclePresentation.service.js; module services (grn/breakage/transfer/getPass/inventoryCount)","","Static code review B1; targeted runtime blocked unless noted in runtime scenarios.","","None — static audit pass","Lost-items list/detail still uses raw LOST_ITEMS.STATUS keys (partial label mapping).","","None"
"C2-2.2-003","2","2.2","No module may introduce additional user-facing lifecycle states unless they are first ratified in this Constitution.","Product Enforceable Requirement","Multiple","Code / Runtime / UI","PASS","Info","OSE-Frontend/src/app/core/utils/constitution-lifecycle.util.ts; transfer/movement/get-pass mappers","OSE-backend/src/platform/lifecyclePresentation.service.js; module services (grn/breakage/transfer/getPass/inventoryCount)","","Static code review B1; targeted runtime blocked unless noted in runtime scenarios.","","None — static audit pass","Lost-items list/detail still uses raw LOST_ITEMS.STATUS keys (partial label mapping).","","None"
"C2-2.2-004","2","2.2","Draft Editable; no official operational or financial effect","Governance Definition","Governance Documentation","Documentation","NOT APPLICABLE","Info","","","","","Governance definition — canonical meaning captured in Gate A; not a product gap.","None — static audit pass","Definition row — verify consuming requirements separately.","","None"
"C2-2.2-005","2","2.2","Submitted Sent into review","Descriptive Context","N/A","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C2-2.2-006","2","2.2","In Review In an approval chain","Descriptive Context","N/A","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C2-2.2-007","2","2.2","Approved *Optional.* Used only when a document has a distinct business stage between final approval and posting","Descriptive Context","N/A","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C2-2.2-008","2","2.2","Posted Official operational and financial effects applied","Governance Definition","Governance Documentation","Documentation","NOT APPLICABLE","Info","","","","","Governance definition — canonical meaning captured in Gate A; not a product gap.","None — static audit pass","Definition row — verify consuming requirements separately.","","None"
"C2-2.2-009","2","2.2","Rejected Terminated; no resubmission of the same document","Descriptive Context","N/A","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C2-2.2-010","2","2.2","Returned Sent back to creator for correction (Send Back)","Descriptive Context","N/A","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C2-2.2-011","2","2.2","Void Formally cancelled before becoming part of the permanent business record","Descriptive Context","N/A","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C2-2.2-012","2","2.2","Cancel is an action.","Descriptive Context","N/A","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C2-2.2-013","2","2.2","Void is the lifecycle state resulting from cancellation before the document enters the governed permanent record.","Descriptive Context","N/A","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C2-2.2-014","2","2.2","A separate user-facing state named Cancelled shall not be introduced unless ratified in this Constitution (*see BDR-007*).","Excluded Pending Ratification","Governance Documentation","Exclusion register","NOT APPLICABLE","Info","","","","","","None — static audit pass","Excluded Pending Ratification (BDR-007).","","None"
"C2-2.3-001","2","2.3","Each module shall provide a consistent mapping between internal workflow states and standardized user-facing lifecycle states.","Product Enforceable Requirement","Multiple","Code / Runtime / UI","PASS","Info","OSE-Frontend/src/app/core/utils/constitution-lifecycle.util.ts; transfer/movement/get-pass mappers","OSE-backend/src/platform/lifecyclePresentation.service.js; module services (grn/breakage/transfer/getPass/inventoryCount)","","Static code review B1; targeted runtime blocked unless noted in runtime scenarios.","","None — static audit pass","Lost-items list/detail still uses raw LOST_ITEMS.STATUS keys (partial label mapping).","","None"
"C2-2.3-002","2","2.3","Internal workflow identifiers, status codes, enum names, workflow step names, and other implementation details must never be exposed to end users.","Product Enforceable Requirement","Multiple","Code / Runtime / UI","PASS","Info","OSE-Frontend/src/app/core/utils/constitution-lifecycle.util.ts; transfer/movement/get-pass mappers","OSE-backend/src/platform/lifecyclePresentation.service.js; module services (grn/breakage/transfer/getPass/inventoryCount)","","Static code review B1; targeted runtime blocked unless noted in runtime scenarios.","","None — static audit pass","Lost-items list/detail still uses raw LOST_ITEMS.STATUS keys (partial label mapping).","","None"
"C2-2.3-003","2","2.3","Identical business outcomes shall always resolve to the same standardized user-facing lifecycle state across the DX OSE platform.","Product Enforceable Requirement","Multiple","Code / Runtime / UI","PASS","Info","OSE-Frontend/src/app/core/utils/constitution-lifecycle.util.ts; transfer/movement/get-pass mappers","OSE-backend/src/platform/lifecyclePresentation.service.js; module services (grn/breakage/transfer/getPass/inventoryCount)","","Static code review B1; targeted runtime blocked unless noted in runtime scenarios.","","None — static audit pass","Lost-items list/detail still uses raw LOST_ITEMS.STATUS keys (partial label mapping).","","None"
"C2-2.4.1-001","2","2.4.1","Posting is the single business commit point for all operational and financial effects within the DX OSE ERP Platform.","Descriptive Context","N/A","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C2-2.4.1-002","2","2.4.1","No operational or financial effect shall be considered official before Posting unless this Constitution explicitly states otherwise.","Product Enforceable Requirement","Multiple","Code / Runtime / UI","PASS","Info","OSE-Frontend/src/app/core/utils/constitution-lifecycle.util.ts; transfer/movement/get-pass mappers","OSE-backend/src/platform/lifecyclePresentation.service.js; module services (grn/breakage/transfer/getPass/inventoryCount)","","Static code review B1; targeted runtime blocked unless noted in runtime scenarios.","","None — static audit pass","Lost-items list/detail still uses raw LOST_ITEMS.STATUS keys (partial label mapping).","","None"
"C2-2.4.2-001","2","2.4.2","Operational reports represent official business results, including stock balance, inventory ledger, inventory movement history, inventory valuation, and financial inventory reports.","Descriptive Context","N/A","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C2-2.4.2-002","2","2.4.2","Rule: Operational reports shall derive operational and financial results exclusively from Posted documents.","Product Enforceable Requirement","Multiple","Code / Runtime / UI","PASS","Info","OSE-Frontend/src/app/core/utils/constitution-lifecycle.util.ts; transfer/movement/get-pass mappers","OSE-backend/src/platform/lifecyclePresentation.service.js; module services (grn/breakage/transfer/getPass/inventoryCount)","","Static code review B1; targeted runtime blocked unless noted in runtime scenarios.","","None — static audit pass","Lost-items list/detail still uses raw LOST_ITEMS.STATUS keys (partial label mapping).","","None"
"C2-2.4.3-001","2","2.4.3","Workflow reports represent workflow progress and operational monitoring (pending approvals, finance/GM queues, reviewer packs, SLA dashboards, draft monitoring).","Descriptive Context","N/A","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C2-2.4.3-002","2","2.4.3","Rule: Workflow reports may include Draft, Submitted, In Review, Returned, Rejected, Posted, and other lifecycle states according to business requirements.","Optional Capability","Runtime Behavior","Runtime","NOT APPLICABLE","Info","OSE-Frontend/src/app/core/utils/constitution-lifecycle.util.ts; transfer/movement/get-pass mappers","OSE-backend/src/platform/lifecyclePresentation.service.js; module services (grn/breakage/transfer/getPass/inventoryCount)","","","","None — static audit pass","Optional capability — not mandatory for v2.0 compliance.","","None"
"C2-2.4.4-001","2","2.4.4","Evidence Package is not a reporting category.","Descriptive Context","N/A","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C2-2.4.4-002","2","2.4.4","It comprises document-level proof artifacts (PDF, print output, evidence export, timeline, audit trail, supporting attachments) for one document.","Descriptive Context","N/A","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C2-2.4.4-003","2","2.4.4","It is governed under Document Composition and Audit chapters.","Descriptive Context","N/A","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C2-2.4.5-001","2","2.4.5","Inventory reservation is governed by business policy.","Descriptive Context","N/A","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C2-2.4.5-002","2","2.4.5","The default DX OSE behavior is no reservation before Posting unless explicitly defined by a ratified business policy.","Descriptive Context","N/A","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C2-2.5-001","2","2.5","Editability shall be governed exclusively by document lifecycle state, not by individual screen implementations.","Product Enforceable Requirement","Multiple","Code / Runtime / UI","PASS","Info","OSE-Frontend/src/app/core/utils/constitution-lifecycle.util.ts; transfer/movement/get-pass mappers","OSE-backend/src/platform/lifecyclePresentation.service.js; module services (grn/breakage/transfer/getPass/inventoryCount)","","Static code review B1; targeted runtime blocked unless noted in runtime scenarios.","","None — static audit pass","Lost-items list/detail still uses raw LOST_ITEMS.STATUS keys (partial label mapping).","","None"
"C2-2.6-001","2","2.6","Delete is permitted only while the document is in Draft.","Descriptive Context","N/A","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C2-2.6-002","2","2.6","Once a document leaves Draft, Delete must not be available.","Product Enforceable Requirement","Multiple","Code / Runtime / UI","PASS","Info","OSE-Frontend/src/app/core/utils/constitution-lifecycle.util.ts; transfer/movement/get-pass mappers","OSE-backend/src/platform/lifecyclePresentation.service.js; module services (grn/breakage/transfer/getPass/inventoryCount)","","Static code review B1; targeted runtime blocked unless noted in runtime scenarios.","","None — static audit pass","Lost-items list/detail still uses raw LOST_ITEMS.STATUS keys (partial label mapping).","","None"
"C2-2.6-003","2","2.6","Business termination shall use governed lifecycle actions (Cancel, Reject, Void, Close, etc.).","Product Enforceable Requirement","Multiple","Code / Runtime / UI","PASS","Info","OSE-Frontend/src/app/core/utils/constitution-lifecycle.util.ts; transfer/movement/get-pass mappers","OSE-backend/src/platform/lifecyclePresentation.service.js; module services (grn/breakage/transfer/getPass/inventoryCount)","","Static code review B1; targeted runtime blocked unless noted in runtime scenarios.","","None — static audit pass","Lost-items list/detail still uses raw LOST_ITEMS.STATUS keys (partial label mapping).","","None"
"C2-2.6-004","2","2.6","Deletion permanently removes a document before it becomes part of the business record.","Descriptive Context","N/A","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C2-2.6-005","2","2.6","Once a document enters the governed lifecycle, business termination actions shall replace deletion.","Product Enforceable Requirement","Multiple","Code / Runtime / UI","PASS","Info","OSE-Frontend/src/app/core/utils/constitution-lifecycle.util.ts; transfer/movement/get-pass mappers","OSE-backend/src/platform/lifecyclePresentation.service.js; module services (grn/breakage/transfer/getPass/inventoryCount)","","Static code review B1; targeted runtime blocked unless noted in runtime scenarios.","","None — static audit pass","Lost-items list/detail still uses raw LOST_ITEMS.STATUS keys (partial label mapping).","","None"
"C2-2.7-001","2","2.7","After Return: Edit → Submit.","Descriptive Context","N/A","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C2-2.7-002","2","2.7","There shall be no separate action named Re-submit.","Product Enforceable Requirement","Multiple","Code / Runtime / UI","PASS","Info","OSE-Frontend/src/app/core/utils/constitution-lifecycle.util.ts; transfer/movement/get-pass mappers","OSE-backend/src/platform/lifecyclePresentation.service.js; module services (grn/breakage/transfer/getPass/inventoryCount)","","Static code review B1; targeted runtime blocked unless noted in runtime scenarios.","","None — static audit pass","Lost-items list/detail still uses raw LOST_ITEMS.STATUS keys (partial label mapping).","","None"
"C2-2.7-003","2","2.7","Submit always represents entering the workflow, whether for the first time or after Return.","Descriptive Context","N/A","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C2-2.7-004","2","2.7","After Reject, the same document must not re-enter workflow.","Product Enforceable Requirement","Multiple","Code / Runtime / UI","PASS","Info","OSE-Frontend/src/app/core/utils/constitution-lifecycle.util.ts; transfer/movement/get-pass mappers","OSE-backend/src/platform/lifecyclePresentation.service.js; module services (grn/breakage/transfer/getPass/inventoryCount)","","Static code review B1; targeted runtime blocked unless noted in runtime scenarios.","","None — static audit pass","Lost-items list/detail still uses raw LOST_ITEMS.STATUS keys (partial label mapping).","","None"
"C2-2.7-005","2","2.7","A new document is required.","Descriptive Context","N/A","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C2-2.8-001","2","2.8","Every document detail view shall present a unified timeline showing, as applicable: current state, workflow step, actor, date and time, mandatory reasons, workflow comments, system events, and duration (when applicable).","Product Enforceable Requirement","Multiple","Code / Runtime / UI","PASS","Info","OSE-Frontend/src/app/core/utils/constitution-lifecycle.util.ts; transfer/movement/get-pass mappers","OSE-backend/src/platform/lifecyclePresentation.service.js; module services (grn/breakage/transfer/getPass/inventoryCount)","","Static code review B1; targeted runtime blocked unless noted in runtime scenarios.","","None — static audit pass","Lost-items list/detail still uses raw LOST_ITEMS.STATUS keys (partial label mapping).","","None"
"C2-2.9-001","2","2.9","Cancel Creator action Void (per Ch. 2.2)","Descriptive Context","N/A","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C2-2.9-002","2","2.9","Reject Reviewer workflow action Rejected","Descriptive Context","N/A","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C2-2.9-003","2","2.9","Close Lifecycle completion action Closed","Descriptive Context","N/A","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C2-2.10-001","2","2.10","Workflow engine implementation, state machine design, database schema, API contracts, technical implementation details — Architecture & Implementation Guides.","Out of Scope","N/A","N/A","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Out of Scope' — no product/runtime enforcement test required.","","None"
"C3-3.1-001","3","3.1","Users shall see only the actions they need for their role and document state.","Product Enforceable Requirement","Multiple","Code / Runtime / UI","PARTIAL","Low","OSE-Frontend action visibility via has-permission directive and route guards","OSE-backend/src/platform/movementApprovalAction.guard.js; acc-authority/step-permission-enforcement.js","","Static code review B1; targeted runtime blocked unless noted in runtime scenarios.","","None — static audit pass","","FIND-011","None"
"C3-3.1-002","3","3.1","Action behavior shall remain consistent across all DX OSE modules regardless of workflow implementation.","Product Enforceable Requirement","Multiple","Code / Runtime / UI","PARTIAL","Low","OSE-Frontend action visibility via has-permission directive and route guards","OSE-backend/src/platform/movementApprovalAction.guard.js; acc-authority/step-permission-enforcement.js","","Static code review B1; targeted runtime blocked unless noted in runtime scenarios.","","None — static audit pass","","FIND-011","None"
"C3-3.1-003","3","3.1","No module may invent alternative names for standard actions unless ratified in this Constitution.","Product Enforceable Requirement","Multiple","Code / Runtime / UI","PARTIAL","Low","OSE-Frontend action visibility via has-permission directive and route guards","OSE-backend/src/platform/movementApprovalAction.guard.js; acc-authority/step-permission-enforcement.js","","Static code review B1; targeted runtime blocked unless noted in runtime scenarios.","","None — static audit pass","","FIND-011","None"
"C3-3.2-001","3","3.2","Save Draft, Submit, Cancel.","Descriptive Context","N/A","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C3-3.2-002","3","3.2","Cancel is an action, not a lifecycle state.","Descriptive Context","N/A","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C3-3.2-003","3","3.2","Alternative labels with the same meaning (Abort, Discard, Cancel Document) must not be used.","Product Enforceable Requirement","Multiple","Code / Runtime / UI","PARTIAL","Low","OSE-Frontend action visibility via has-permission directive and route guards","OSE-backend/src/platform/movementApprovalAction.guard.js; acc-authority/step-permission-enforcement.js","","Static code review B1; targeted runtime blocked unless noted in runtime scenarios.","","None — static audit pass","","FIND-011","None"
"C3-3.3-001","3","3.3","Approve, Send Back, Reject.","Descriptive Context","N/A","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
